,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,Survival_Rate
1,300ETF(27),300ETF(26),300ETF(28),300ETF(32),A500基金(22),A500基金(28),300ETF(45),300ETF(47),300ETF(41),300ETF(39),300ETF(43),A500基金(25),1.0
2,恒生医疗(11),恒生医疗(13),HK创新药(15),HK创新药(12),HK创新药(15),HK创新药(16),HK创新药(18),HK创新药(21),HK创新药(17),HK创新药(16),HK创新药(16),HK创新药(19),1.0
3,沙特ETF南方(2),沙特ETF南方(2),沙特ETF南方(3),沙特ETF南方(3),沙特ETF南方(4),沙特ETF南方(3),沙特ETF南方(3),沙特ETF(2),沙特ETF(2),沙特ETF南方(1),沙特ETF南方(2),沙特ETF南方(2),1.0
4,纳指ETF(15),纳指ETF(20),纳指ETF(21),纳指ETF(20),纳指ETF(20),纳指ETF(17),纳指ETF(20),纳指ETF(21),纳指ETF(22),纳指ETF(21),纳指ETF(17),纳指ETF(16),1.0
5,纳指生物(2),纳指生物(2),纳指生物(2),标普生物科技ETF嘉实(2),,,,,,,,,0.3333333333333333
6,芯片ETF(10),科创50(14),科创50(14),科创50(13),科创50(13),科创50(14),科创50(20),科创板50(29),科创50(27),科创50(24),科创50(22),科创50(25),1.0
7,标普油气ETF嘉实(2),标普油气ETF嘉实(2),标普油气ETF嘉实(2),标普油气ETF嘉实(2),标普油气ETF嘉实(2),标普油气ETF嘉实(2),标普油气ETF嘉实(2),标普油气ETF嘉实(2),标普油气ETF嘉实(2),标普油气ETF嘉实(2),标普油气ETF嘉实(2),标普油气ETF嘉实(2),1.0
8,机器人(5),机器人(4),,,,,,,,,,,0.16666666666666666
9,标普消费ETF(1),标普消费ETF(1),,,,,,,,,,,0.16666666666666666
10,500ETF(19),500ETF(23),500ETF(25),500ETF(22),500ETF(19),500ETF(20),500ETF(15),500ETF(16),500ETF(17),500ETF(14),500ETF(16),500ETF(20),1.0
11,德国ETF(4),德国ETF(4),德国ETF嘉实(4),德国ETF嘉实(3),德国ETF嘉实(2),德国ETF嘉实(3),德国ETF(2),德国ETF(3),德国ETF嘉实(3),德国ETF嘉实(3),道琼斯(3),德国ETF嘉实(3),1.0
12,中概互联(34),港股通互联网ETF(28),港股通互联网ETF(42),港股通互联网ETF(42),港股通互联网ETF(38),港股通互联网ETF(39),港股通互联网ETF(34),港股通互联网ETF(39),港股通互联网ETF(39),港股通互联网ETF(39),港股通互联网ETF(34),港股通互联网ETF(41),1.0
13,红利ETF(10),红利ETF(11),红利ETF(10),红利ETF(9),红利ETF(8),红利ETF(7),红利ETF(8),红利ETF(9),红利ETF(9),红利ETF(9),红利ETF(12),红利ETF(10),1.0
14,军工ETF(5),军工ETF(6),军工ETF(3),军工ETF(5),军工ETF(5),军工ETF(5),军工ETF(8),军工龙头(7),军工ETF(7),军工ETF(8),军工ETF(11),卫星ETF(14),1.0
15,标普500(4),,,,,,,,,,,,0.08333333333333333
16,创业板ETF易方达(9),创业板ETF易方达(8),创业板ETF易方达(10),创业板ETF易方达(9),创业板ETF易方达(9),创业板ETF易方达(11),创业板ETF易方达(18),创业板ETF易方达(15),创业板ETF易方达(19),创业板ETF易方达(18),创业板ETF易方达(18),创业板ETF易方达(18),1.0
17,香港红利(9),香港红利(8),香港红利(7),香港红利(10),香港红利(11),港股红利ETF工银(9),香港红利(13),香港红利(13),香港红利(13),香港红利(15),香港红利(11),港股非银(13),1.0
18,恒生ETF(8),中概互联(16),,,,,,,,,,,0.16666666666666666
19,5GETF(5),,,,,,,,,,,,0.08333333333333333
20,光伏ETF(8),光伏ETF(7),光伏ETF(3),光伏ETF(3),光伏ETF(3),光伏ETF(8),光伏ETF(11),光伏ETF(9),光伏ETF(8),光伏ETF(10),,,0.8333333333333334
21,消费ETF(8),消费ETF(8),消费ETF(6),消费ETF(4),酒ETF(4),酒ETF(3),酒ETF(4),酒ETF(5),消费ETF(5),酒ETF(5),消费ETF(4),消费ETF(4),1.0
22,科创50(11),,,,,,,,,,,,0.08333333333333333
23,游戏ETF(5),游戏ETF(3),游戏ETF(3),,,,,,,,,,0.25
24,人工智能ETF易方达(15),人工智能ETF易方达(17),人工智能ETF易方达(12),人工智能ETF易方达(16),人工智能ETF易方达(16),人工智能ETF易方达(16),人工智能ETF易方达(16),AI智能(9),人工智能ETF易方达(8),人工智能ETF易方达(10),人工智能ETF易方达(12),科创智能(7),1.0
25,医疗ETF(10),医疗ETF(9),医疗ETF(7),医疗ETF(7),医疗ETF(7),医疗ETF(11),医疗ETF(14),医疗ETF(14),医疗ETF(11),医疗ETF(9),医疗ETF(6),医疗ETF(13),1.0
26,证券ETF(10),证券ETF(8),证券ETF(7),证券ETF(7),证券ETF(9),证券ETF(9),证券ETF(12),证券ETF(13),证券ETF(11),证券ETF(12),证券ETF(10),证券ETF(12),1.0
27,日经225(4),日经225(4),225ETF(4),日经ETF(2),,,,,,,,,0.3333333333333333
28,银行ETF(4),银行ETF(3),银行ETF(3),银行ETF天弘(5),红利低波(8),红利低波(10),红利低波(10),红利低波(7),红利低波(10),红利低波(9),红利低波(9),红利低波(11),1.0
29,黄金ETF(8),黄金ETF(7),黄金ETF(12),黄金ETF(10),黄金ETF(8),黄金ETF(9),黄金ETF(9),黄金ETF(9),黄金ETF(13),黄金ETF(10),黄金ETF(10),黄金ETF(12),1.0
30,有色ETF大成(1),有色ETF大成(1),有色ETF大成(1),,,,,,,,,,0.25
31,豆粕ETF(1),豆粕ETF(1),豆粕ETF(1),豆粕ETF(1),豆粕ETF(1),豆粕ETF(1),豆粕ETF(1),豆粕ETF(1),豆粕ETF(1),豆粕ETF(1),豆粕ETF(1),豆粕ETF(1),1.0
32,城投ETF(1),城投ETF(1),城投ETF(1),城投ETF(1),城投ETF(1),城投ETF(1),城投ETF(1),城投ETF(1),城投ETF(1),城投ETF(1),城投ETF(1),城投ETF(1),1.0
33,东南亚(1),东南亚(1),,,,,,,,,,,0.16666666666666666
34,,有色ETF(3),有色ETF(3),有色ETF(3),黄金股(3),,,,,,,,0.3333333333333333
35,,,地产ETF(4),,,,,,,,,,0.08333333333333333
36,,,能源化工ETF建信(1),能源化工ETF建信(1),能源化工ETF建信(1),有色ETF大成(2),能源化工ETF建信(1),能源化工ETF建信(1),,,,,0.5
37,,,,电力ETF(2),,,,,,,,,0.08333333333333333
38,,,,,恒生消费(2),恒生消费(2),,,,,,,0.16666666666666666
39,,,,,游戏ETF(3),游戏ETF(3),游戏ETF(3),游戏ETF(3),游戏ETF(3),游戏ETF(3),游戏ETF(3),游戏ETF(4),0.6666666666666666
40,,,,,科创指基(5),科创指基(9),,,,,,,0.16666666666666666
41,,,,,,标普生物科技ETF嘉实(2),标普生物科技ETF嘉实(2),标普生物科技ETF嘉实(2),标普生物科技ETF嘉实(2),标普生物科技ETF嘉实(2),标普生物科技ETF嘉实(2),标普生物科技ETF嘉实(2),0.5833333333333334
42,,,,,,电力ETF(2),电力ETF(2),,,,,,0.16666666666666666
43,,,,,,有色ETF(5),有色ETF(10),稀土基金(6),稀土基金(6),稀土基金(5),稀土基金(4),稀土基金(5),0.5833333333333334
44,,,,,,煤炭ETF(6),地产ETF(6),,,,,,0.16666666666666666
45,,,,,,养殖ETF(2),养殖ETF(2),养殖ETF(2),养殖ETF(2),化工ETF(5),养殖ETF(3),,0.5
46,,,,,,日经225(3),日经225(4),日经225(4),日经225(5),日经225(6),日经225(5),日经225(4),0.5833333333333334
47,,,,,,,机器人(6),机器人(9),机器人(6),机器人(5),机器人(6),机器人(7),0.5
48,,,,,,,旅游ETF(2),旅游ETF(2),旅游ETF(2),旅游ETF(3),旅游ETF(2),旅游ETF(2),0.5
49,,,,,,,港股非银(9),,,,,,0.08333333333333333
50,,,,,,,金融科技ETF(9),金融科技ETF(9),金融科技ETF(8),金融科技ETF(6),金融科技ETF(6),软件ETF(12),0.5
51,,,,,,,科创100F(15),科创100F(14),科创100F(14),科创100F(8),科创100F(10),科创100F(9),0.5
52,,,,,,,,化工ETF(7),化工ETF(10),自由现金流ETF(6),化工ETF(9),自由现金流ETF(12),0.4166666666666667
53,,,,,,,,电池ETF(12),电池ETF(11),电池ETF(11),电池ETF(15),电池ETF(13),0.4166666666666667
54,,,,,,,,有色ETF(8),有色ETF(10),有色ETF(8),有色ETF(11),有色ETF(14),0.4166666666666667
55,,,,,,,,恒生消费(2),恒生消费(2),恒生消费(2),,,0.25
56,,,,,,,,地产ETF(3),,,,,0.08333333333333333
57,,,,,,,,人工智能ETF易方达(12),,,,,0.08333333333333333
58,,,,,,,,,半导体设备ETF(7),半导体设备ETF(7),半导体设备ETF(7),半导体设备ETF(8),0.3333333333333333
59,,,,,,,,,电力ETF(2),电力ETF(2),,,0.16666666666666666
60,,,,,,,,,港股非银(3),,,,0.08333333333333333
61,,,,,,,,,,能源化工ETF建信(1),,,0.08333333333333333
62,,,,,,,,,,,恒生ETF(6),,0.08333333333333333
63,,,,,,,,,,,,恒生消费(4),0.08333333333333333
64,,,,,,,,,,,,电网设备ETF(3),0.08333333333333333
65,,,,,,,,,,,,电力ETF(4),0.08333333333333333
66,,,,,,,,,,,,地产ETF(3),0.08333333333333333
67,,,,,,,,,,,,化工ETF(6),0.08333333333333333
68,,,,,,,,,,,,光伏ETF(6),0.08333333333333333
