ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover,Y2023,Y2024,Y2025,Y2026
round1a_switches_arF-1_flF-.95_lsT-.97_maF-20_stF-10-0,"[0, 5]",-,-,-,-,-,✓,-,-,F/F/T,253.0%,51.3%,34.1%,1.51,1.33,35.7%,47.8%,337,5.2,0.47,8.0%,20.1%,106.0%,32.1%
round1a_switches_arF-1_flT-.95_lsT-.97_maF-20_stF-10-0,"[0, 5]",-,-,-,-,-,✓,✓,-,F/F/T,263.3%,52.8%,36.1%,1.46,1.38,35.3%,47.6%,340,5.2,0.48,5.3%,14.3%,128.4%,32.1%
round1a_switches_arF-1_flF-.95_lsF-.97_maF-20_stF-10-0,"[0, 5]",-,-,-,-,-,-,-,-,F/F/T,213.7%,45.6%,34.4%,1.33,1.11,37.5%,49.4%,330,5.4,0.47,22.6%,-5.7%,104.8%,32.6%
round1a_switches_arF-1_flT-.95_lsF-.97_maF-20_stF-10-0,"[0, 5]",-,-,-,-,-,-,✓,-,F/F/T,241.5%,49.7%,40.4%,1.23,1.25,36.7%,49.0%,339,5.4,0.48,13.8%,-1.8%,130.6%,32.6%
round1a_switches_arF-1_flF-.95_lsT-.97_maT-20_stF-10-0,"[0, 5]",-,-,-,✓,-,✓,-,-,F/F/T,223.5%,47.1%,38.1%,1.24,1.21,35.7%,48.1%,341,5.3,0.47,4.8%,13.3%,106.2%,32.1%
round1a_switches_arF-1_flT-.95_lsT-.97_maT-20_stF-10-0,"[0, 5]",-,-,-,✓,-,✓,✓,-,F/F/T,232.6%,48.4%,39.9%,1.21,1.26,35.3%,47.8%,343,5.3,0.48,2.3%,7.7%,128.6%,32.1%
round1a_switches_arF-1_flF-.95_lsF-.97_maT-20_stF-10-0,"[0, 5]",-,-,-,✓,-,-,-,-,F/F/T,190.6%,42.0%,36.1%,1.16,1.02,37.4%,48.7%,337,5.4,0.47,23.3%,-10.4%,107.4%,26.9%
round1a_switches_arF-1_flT-.95_lsF-.97_maT-20_stF-10-0,"[0, 5]",-,-,-,✓,-,-,✓,-,F/F/T,182.6%,40.7%,41.1%,0.99,1.00,36.8%,48.3%,344,5.4,0.48,11.6%,-13.5%,130.6%,26.9%
round1a_switches_arT-1_flF-.95_lsT-.97_maF-20_stF-10-0,"[0, 5]",-,-,✓,-,-,✓,-,-,F/F/T,260.7%,52.4%,31.9%,1.64,1.36,35.6%,49.1%,338,5.2,0.47,9.6%,23.3%,102.1%,32.1%
round1a_switches_arT-1_flT-.95_lsT-.97_maF-20_stF-10-0,"[0, 5]",-,-,✓,-,-,✓,✓,-,F/F/T,271.0%,53.8%,34.0%,1.59,1.42,35.1%,48.8%,340,5.2,0.48,6.9%,17.3%,124.1%,32.1%
