ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3_124775,"[0, 10]",-,-,✓,-,2,✓,✓,✓,F/F/T,59.6%,315.7%,21.0%,15.02,5.82,53.6%,53.2%,47,2.6,0.58
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3_23c47a,"[0, 10]",-,0.3,✓,-,2,✓,✓,✓,F/F/T,59.6%,315.7%,21.0%,15.02,5.82,53.6%,53.2%,47,2.6,0.58
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3_8be81a,"[0, 10]",-,-,✓,-,1.5,✓,✓,✓,F/F/T,59.6%,315.7%,21.0%,15.02,5.82,53.6%,53.2%,47,2.6,0.58
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3_ac9e6b,"[0, 10]",-,0.3,✓,-,1.5,✓,✓,✓,F/F/T,59.6%,315.7%,21.0%,15.02,5.82,53.6%,53.2%,47,2.6,0.58
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3_a3eaf1,"[0, 10]",-,-,-,-,1.5,✓,✓,✓,F/F/T,57.0%,295.3%,22.3%,13.25,5.39,54.1%,52.1%,48,2.5,0.60
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3_01387a,"[0, 10]",-,-,-,-,2,✓,✓,✓,F/F/T,57.0%,295.3%,22.3%,13.25,5.39,54.1%,52.1%,48,2.5,0.60
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3_f8cf23,"[0, 10]",-,0.4,-,-,2,✓,✓,✓,F/F/T,55.5%,283.8%,23.1%,12.31,5.19,53.9%,50.0%,48,2.5,0.60
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3_255a8d,"[0, 10]",-,-,✓,-,-,✓,✓,✓,F/F/T,50.9%,250.5%,21.0%,11.92,4.38,56.3%,51.1%,45,2.6,0.56
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3_e9963a,"[0, 10]",-,0.5,✓,-,1.5,✓,✓,✓,F/F/T,48.5%,233.9%,18.5%,12.65,4.35,52.9%,52.2%,46,2.6,0.57
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.4_sldayT-3_712b4a,"[0, 10]",-,0.4,✓,-,1.2,✓,✓,✓,F/F/T,47.5%,226.9%,19.7%,11.50,4.30,51.9%,51.1%,45,2.6,0.56
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3_4f3ebb,"[0, 10]",-,0.3,✓,-,1.2,✓,✓,✓,F/F/T,45.1%,211.1%,21.0%,10.04,3.98,52.0%,51.1%,45,2.6,0.56
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3_419b2e,"[0, 10]",-,0.6,-,-,1.5,✓,✓,✓,F/F/T,44.0%,204.1%,16.3%,12.53,4.01,49.9%,51.1%,47,2.5,0.58
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.6_sldayT-3_b1788a,"[0, 10]",-,0.6,✓,-,2,✓,✓,✓,F/F/T,43.9%,203.4%,16.3%,12.50,3.99,49.9%,51.1%,47,2.6,0.58
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.5_sldayT-3_bbe7c6,"[0, 10]",-,0.5,-,-,1.5,✓,✓,✓,F/F/T,43.8%,202.5%,21.1%,9.61,3.72,53.3%,51.1%,47,2.5,0.58
round2_fine_tuning_S0-10_arT-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rT-.3_sldayT-3_194335,"[0, 10]",-,0.3,✓,-,1,✓,✓,✓,F/F/T,43.7%,201.8%,21.0%,9.61,3.80,52.0%,50.0%,46,2.6,0.57
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3_4abbad,"[0, 10]",-,-,-,-,1.2,✓,✓,✓,F/F/T,42.8%,196.1%,22.3%,8.80,3.66,52.5%,50.0%,46,2.5,0.57
round2b_fine_tuning_S0-10_arF-1_flT-.95_fmF-F-T_lsT-.97_maF-20_rF-.4_sldayT-3_2e581f,"[0, 10]",-,-,-,-,1,✓,✓,✓,F/F/T,41.3%,187.2%,22.3%,8.40,3.49,52.5%,48.9%,47,2.5,0.58
