date,breadth_ma20,triggered,onset,continuation,exit,phase,episode_id,episode_day,four_industry_top1_ids,top1_tie_count_ma20,breadth_le_50_triggered,breadth_le_50_onset,breadth_le_50_continuation,breadth_le_50_exit,breadth_le_50_phase,breadth_le_50_episode_id,breadth_le_50_episode_day,breadth_le_50_onset_industry_only,breadth_le_50_onset_breadth_only,breadth_le_50_onset_both,breadth_le_50_exit_industry_only,breadth_le_50_exit_breadth_only,breadth_le_50_exit_both,breadth_gt_50_triggered,breadth_gt_50_onset,breadth_gt_50_continuation,breadth_gt_50_exit,breadth_gt_50_phase,breadth_gt_50_episode_id,breadth_gt_50_episode_day,breadth_gt_50_onset_industry_only,breadth_gt_50_onset_breadth_only,breadth_gt_50_onset_both,breadth_gt_50_exit_industry_only,breadth_gt_50_exit_breadth_only,breadth_gt_50_exit_both,market_breadth_le_50_triggered,market_breadth_le_50_onset,market_breadth_le_50_exit,market_breadth_gt_50_triggered,market_breadth_gt_50_onset,market_breadth_gt_50_exit,target_bank,target_coal,target_nonferrous,target_steel
2021-12-13,0.591497679,False,False,False,False,inactive,,,,1,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
2021-12-14,0.5985829465,False,False,False,False,inactive,,,,1,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2021-12-15,0.6128637809,False,False,False,False,inactive,,,,1,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2021-12-16,0.6594132029,False,False,False,False,inactive,,,,1,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2021-12-17,0.5828850856,False,False,False,False,inactive,,,,1,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2021-12-20,0.5061124694,False,False,False,False,inactive,,,,1,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2021-12-21,0.5929095355,False,False,False,False,inactive,,,,1,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2021-12-22,0.62200489,False,False,False,False,inactive,,,,1,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2021-12-23,0.5920859795,True,True,False,False,onset,1,1,coal,1,False,False,False,False,inactive,,,False,False,False,False,False,False,True,True,False,False,onset,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2021-12-24,0.461406937,False,False,False,True,exit,,,,1,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,True,exit,,,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False
2021-12-27,0.484123107,False,False,False,False,inactive,,,,1,False,False,False,False,inactive,,,False,False,False,False,False,False,False,False,False,False,inactive,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
