filter_id,episode_id,start_date,end_date,exit_date,trading_days,target_ids_seen,max_top1_tie_count
breadth_le_50,1,2022-01-18,2022-01-24,2022-01-25,5,bank,1
breadth_le_50,2,2022-01-26,2022-01-27,2022-01-28,2,bank,1
breadth_le_50,3,2022-02-07,2022-02-14,2022-02-15,6,bank|coal,1
breadth_le_50,4,2022-02-18,2022-02-18,2022-02-21,1,steel,1
breadth_le_50,5,2022-03-04,2022-03-11,2022-03-14,6,coal,1
breadth_le_50,6,2022-03-21,2022-03-21,2022-03-22,1,coal,1
breadth_le_50,7,2022-03-31,2022-04-01,2022-04-06,2,bank,1
breadth_le_50,8,2022-04-07,2022-04-15,2022-04-18,7,bank,1
breadth_le_50,9,2022-08-24,2022-08-31,2022-09-01,6,bank|coal,1
breadth_le_50,10,2022-09-05,2022-09-06,2022-09-07,2,coal,1
breadth_le_50,11,2022-09-13,2022-09-15,2022-09-16,3,bank,1
breadth_le_50,12,2022-09-22,2022-09-23,2022-09-26,2,bank|coal,1
breadth_le_50,13,2022-10-10,2022-10-12,2022-10-13,3,coal,1
breadth_le_50,14,2022-11-25,2022-11-28,2022-11-29,2,bank,1
breadth_le_50,15,2023-02-27,2023-02-28,2023-03-01,2,coal|steel,1
breadth_le_50,16,2023-03-07,2023-03-08,2023-03-09,2,bank,1
breadth_le_50,17,2023-04-17,2023-05-11,2023-05-12,16,bank,1
breadth_le_50,18,2023-07-21,2023-07-21,2023-07-24,1,bank,1
breadth_le_50,19,2023-07-27,2023-07-27,2023-07-28,1,bank,1
breadth_le_50,20,2023-09-01,2023-09-01,2023-09-04,1,coal,1
breadth_le_50,21,2023-09-13,2023-09-15,2023-09-18,3,coal,1
breadth_le_50,22,2023-09-19,2023-09-26,2023-09-27,6,bank|coal,1
breadth_le_50,23,2023-11-30,2023-12-01,2023-12-04,2,coal,1
breadth_le_50,24,2023-12-05,2023-12-05,2023-12-06,1,coal,1
breadth_le_50,25,2023-12-14,2023-12-14,2023-12-15,1,coal,1
breadth_le_50,26,2023-12-20,2023-12-20,2023-12-21,1,coal,1
breadth_le_50,27,2023-12-22,2023-12-27,2023-12-28,4,coal,1
breadth_le_50,28,2024-01-05,2024-01-10,2024-01-11,4,bank,1
breadth_le_50,29,2024-01-12,2024-02-22,2024-02-23,24,bank,1
breadth_le_50,30,2024-03-27,2024-03-27,2024-03-28,1,bank,1
breadth_le_50,31,2024-04-08,2024-04-25,2024-04-26,14,bank|coal|nonferrous,1
breadth_le_50,32,2024-05-23,2024-05-31,2024-06-03,7,bank|coal,1
breadth_le_50,33,2024-06-04,2024-06-04,2024-06-05,1,coal,1
breadth_le_50,34,2024-06-06,2024-06-07,2024-06-11,2,coal,1
breadth_le_50,35,2024-06-12,2024-06-12,2024-06-13,1,coal,1
breadth_le_50,36,2024-06-27,2024-07-19,2024-07-22,17,bank|nonferrous,1
breadth_le_50,37,2024-07-23,2024-07-24,2024-07-25,2,bank,1
breadth_le_50,38,2024-08-16,2024-08-29,2024-08-30,10,bank|nonferrous,1
breadth_le_50,39,2024-11-18,2024-11-19,2024-11-20,2,bank,1
breadth_le_50,40,2024-12-18,2024-12-18,2024-12-19,1,bank,1
breadth_le_50,41,2024-12-23,2024-12-31,2025-01-02,7,bank,1
breadth_le_50,42,2025-01-03,2025-01-17,2025-01-20,11,bank|nonferrous,1
breadth_le_50,43,2025-01-22,2025-01-22,2025-01-23,1,nonferrous,1
breadth_le_50,44,2025-03-24,2025-03-31,2025-04-01,6,bank|coal,1
breadth_le_50,45,2025-04-02,2025-04-03,2025-04-07,2,bank,1
breadth_le_50,46,2025-04-18,2025-04-18,2025-04-21,1,bank,1
breadth_le_50,47,2025-04-24,2025-04-24,2025-04-25,1,bank,1
breadth_le_50,48,2025-04-28,2025-04-28,2025-04-29,1,bank,1
breadth_le_50,49,2025-05-23,2025-05-23,2025-05-26,1,bank,1
breadth_le_50,50,2025-05-28,2025-05-28,2025-05-29,1,bank,1
breadth_le_50,51,2025-05-30,2025-06-03,2025-06-04,2,bank,1
breadth_le_50,52,2025-06-18,2025-06-23,2025-06-24,4,bank,1
breadth_le_50,53,2025-09-02,2025-09-03,2025-09-04,2,nonferrous,1
breadth_le_50,54,2025-09-05,2025-09-05,2025-09-08,1,nonferrous,1
breadth_le_50,55,2025-09-19,2025-09-19,2025-09-22,1,coal,1
breadth_le_50,56,2025-09-23,2025-09-23,2025-09-24,1,coal,1
breadth_le_50,57,2025-09-30,2025-10-22,2025-10-23,11,bank|coal|nonferrous,1
breadth_le_50,58,2025-10-30,2025-10-30,2025-10-31,1,steel,1
breadth_le_50,59,2025-11-20,2025-11-21,2025-11-24,2,bank,1
breadth_le_50,60,2025-11-27,2025-11-27,2025-11-28,1,bank,1
breadth_le_50,61,2025-12-22,2025-12-23,2025-12-24,2,nonferrous,1
breadth_le_50,62,2026-01-29,2026-01-30,2026-02-02,2,coal|steel,1
breadth_le_50,63,2026-02-04,2026-02-05,2026-02-06,2,bank|coal,1
breadth_le_50,64,2026-02-11,2026-02-13,2026-02-24,3,bank|coal,1
breadth_le_50,65,2026-03-02,2026-03-09,2026-03-10,6,coal,1
breadth_le_50,66,2026-03-11,2026-03-24,2026-03-25,10,bank|coal,1
breadth_le_50,67,2026-03-26,2026-03-26,2026-03-27,1,bank,1
breadth_le_50,68,2026-03-30,2026-03-31,2026-04-01,2,bank,1
breadth_le_50,69,2026-06-01,2026-06-16,2026-06-17,12,bank|coal,1
breadth_le_50,70,2026-07-13,2026-07-30,2026-07-31,14,bank,1
breadth_gt_50,1,2021-12-23,2021-12-23,2021-12-24,1,coal,1
breadth_gt_50,2,2022-01-07,2022-01-13,2022-01-14,5,bank,1
breadth_gt_50,3,2022-02-21,2022-02-23,2022-02-24,3,coal,1
breadth_gt_50,4,2022-02-25,2022-03-03,2022-03-04,5,coal|nonferrous,1
breadth_gt_50,5,2022-04-06,2022-04-06,2022-04-07,1,bank,1
breadth_gt_50,6,2022-05-24,2022-05-24,2022-05-25,1,coal,1
breadth_gt_50,7,2022-05-26,2022-06-15,2022-06-16,14,bank|coal,2
breadth_gt_50,8,2022-08-15,2022-08-23,2022-08-24,7,coal,1
breadth_gt_50,9,2022-11-22,2022-11-24,2022-11-25,3,bank,1
breadth_gt_50,10,2022-11-29,2022-12-09,2022-12-12,9,bank,1
breadth_gt_50,11,2023-01-06,2023-01-06,2023-01-09,1,bank,1
breadth_gt_50,12,2023-01-20,2023-02-03,2023-02-06,6,coal|nonferrous|steel,4
breadth_gt_50,13,2023-02-07,2023-02-07,2023-02-08,1,steel,1
breadth_gt_50,14,2023-02-21,2023-02-24,2023-02-27,4,coal,1
breadth_gt_50,15,2023-03-01,2023-03-01,2023-03-02,1,coal,1
breadth_gt_50,16,2023-03-03,2023-03-03,2023-03-06,1,bank,1
breadth_gt_50,17,2023-07-03,2023-07-11,2023-07-12,7,coal,1
breadth_gt_50,18,2023-07-13,2023-07-13,2023-07-14,1,bank,1
breadth_gt_50,19,2023-07-25,2023-07-26,2023-07-27,2,bank,1
breadth_gt_50,20,2023-07-28,2023-08-04,2023-08-07,6,bank,2
breadth_gt_50,21,2023-09-04,2023-09-05,2023-09-06,2,coal,1
breadth_gt_50,22,2023-09-18,2023-09-18,2023-09-19,1,coal,1
breadth_gt_50,23,2023-11-27,2023-11-27,2023-11-28,1,coal,1
breadth_gt_50,24,2023-11-29,2023-11-29,2023-11-30,1,coal,1
breadth_gt_50,25,2024-01-02,2024-01-03,2024-01-04,2,nonferrous,1
breadth_gt_50,26,2024-02-23,2024-02-23,2024-02-26,1,bank,1
breadth_gt_50,27,2024-02-28,2024-02-28,2024-02-29,1,bank,1
breadth_gt_50,28,2024-03-07,2024-03-07,2024-03-08,1,steel,1
breadth_gt_50,29,2024-03-29,2024-03-29,2024-04-01,1,nonferrous,1
breadth_gt_50,30,2024-04-03,2024-04-03,2024-04-08,1,nonferrous,1
breadth_gt_50,31,2024-05-22,2024-05-22,2024-05-23,1,bank,1
