record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::missed_region::all_a_medium_bottom_20190104,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20190104,2019-01-04,2018-12-25,2019-01-04,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,False,True,top_bottom_regions_v2,,,,
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::missed_region::all_a_medium_bottom_20190606,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20190606,2019-06-06,2019-05-24,2019-06-11,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::missed_region::all_a_medium_bottom_20190806,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20190806,2019-08-06,2019-08-06,2019-08-15,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::matched::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000001,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,matched,True,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000001,2020-02-10,all_a_medium_bottom_20200204,2020-02-04,2020-02-03,2020-02-04,single_lobe,1,,confirmation_window,False,False,confirmation,4,4,5,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000001,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20200204,confirmation,single_lobe,primary_match
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::matched::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000002,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,matched,True,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000002,2020-03-25,all_a_medium_bottom_20200324,2020-03-24,2020-03-17,2020-04-02,multi_lobe,5,,envelope,False,True,confirmation,1,1,5,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000002,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20200324,confirmation,multi_lobe,primary_match
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::false_alarm::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000003,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,false_alarm,False,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000003,2020-09-17,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20210309,prediction,multi_lobe,nearest_region_for_slice_only
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::missed_region::all_a_medium_bottom_20210309,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20210309,2021-03-09,2021-03-09,2021-03-26,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::false_alarm::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000004,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,false_alarm,False,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000004,2021-10-13,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20220427,prediction,single_lobe,nearest_region_for_slice_only
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::false_alarm::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000005,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,false_alarm,False,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000005,2022-02-08,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20220427,prediction,single_lobe,nearest_region_for_slice_only
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::false_alarm::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000006,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,false_alarm,False,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000006,2022-03-24,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20220427,prediction,single_lobe,nearest_region_for_slice_only
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::missed_region::all_a_medium_bottom_20220427,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20220427,2022-04-27,2022-04-26,2022-04-27,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::missed_region::all_a_medium_bottom_20221031,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20221031,2022-10-31,2022-10-10,2022-11-01,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::false_alarm::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000007,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,false_alarm,False,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000007,2022-12-30,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20221031,confirmation,multi_lobe,nearest_region_for_slice_only
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::false_alarm::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000008,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,false_alarm,False,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000008,2023-10-25,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20240205,prediction,single_lobe,nearest_region_for_slice_only
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::duplicate_alarm::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000009,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,duplicate_alarm,False,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000009,2024-01-25,all_a_medium_bottom_20240205,2024-02-05,2024-02-05,2024-02-06,single_lobe,1,,prediction_window,False,False,prediction,-7,7,10,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000010,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20240205,prediction,single_lobe,duplicate_candidate
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::matched::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000010,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,matched,True,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000010,2024-02-07,all_a_medium_bottom_20240205,2024-02-05,2024-02-05,2024-02-06,single_lobe,1,,confirmation_window,False,False,confirmation,2,2,5,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000010,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20240205,confirmation,single_lobe,primary_match
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::onset::all_a::false_alarm::ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000011,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,onset,all_a,全A,false_alarm,False,ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000011,2024-04-23,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20240205,confirmation,single_lobe,nearest_region_for_slice_only
