record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20190104,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20190104,2019-01-04,2018-12-25,2019-01-04,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,False,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20190606,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20190606,2019-06-06,2019-05-24,2019-06-11,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20190806,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20190806,2019-08-06,2019-08-06,2019-08-15,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20200204,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20200204,2020-02-04,2020-02-03,2020-02-04,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20200324,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20200324,2020-03-24,2020-03-17,2020-04-02,multi_lobe,5,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20210309,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20210309,2021-03-09,2021-03-09,2021-03-26,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::false_alarm::ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000001,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,false_alarm,False,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000001,2022-03-09,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20220427,prediction,single_lobe,nearest_region_for_slice_only
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::matched::ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000002,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,matched,True,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000002,2022-04-22,all_a_medium_bottom_20220427,2022-04-27,2022-04-26,2022-04-27,single_lobe,1,,prediction_window,False,False,prediction,-3,3,5,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000002,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20220427,prediction,single_lobe,primary_match
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::false_alarm::ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000003,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,false_alarm,False,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000003,2022-09-19,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20221031,prediction,multi_lobe,nearest_region_for_slice_only
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20221031,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20221031,2022-10-31,2022-10-10,2022-11-01,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20240205,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20240205,2024-02-05,2024-02-05,2024-02-06,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20240918,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20240918,2024-09-18,2024-09-09,2024-09-23,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20241016,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20241016,2024-10-16,2024-10-14,2024-10-18,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20250113,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20250113,2025-01-13,2025-01-03,2025-01-14,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20250409,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20250409,2025-04-09,2025-04-07,2025-04-09,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20260323,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20260323,2026-03-23,2026-03-23,2026-04-07,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20260721,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20260721,2026-07-21,2026-07-20,2026-07-30,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,True,False,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20190131,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20190131,2019-01-31,2019-01-31,2019-02-01,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20190806,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20190806,2019-08-06,2019-08-06,2019-08-15,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20200204,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20200204,2020-02-04,2020-02-04,2020-02-04,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20200428,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20200428,2020-04-28,2020-04-28,2020-04-28,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20210208,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20210208,2021-02-08,2021-02-04,2021-02-09,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::false_alarm::ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000001,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,false_alarm,False,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000001,2022-03-09,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,cni2000_medium_bottom_20220427,prediction,single_lobe,nearest_region_for_slice_only
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::matched::ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000002,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,matched,True,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000002,2022-04-22,cni2000_medium_bottom_20220427,2022-04-27,2022-04-27,2022-04-27,single_lobe,1,,prediction_window,False,False,prediction,-3,3,5,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000002,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20220427,prediction,single_lobe,primary_match
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::matched::ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000003,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,matched,True,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000003,2022-09-19,cni2000_medium_bottom_20221011,2022-10-11,2022-10-10,2022-10-12,single_lobe,1,,prediction_window,False,False,prediction,-11,11,20,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000003,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,cni2000_medium_bottom_20221011,prediction,single_lobe,primary_match
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20231023,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20231023,2023-10-23,2023-10-23,2023-10-24,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20240206,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20240206,2024-02-06,2024-02-05,2024-02-06,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20240416,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20240416,2024-04-16,2024-04-16,2024-04-17,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20240918,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20240918,2024-09-18,2024-09-10,2024-09-19,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20241014,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20241014,2024-10-14,2024-10-11,2024-10-16,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20250113,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20250113,2025-01-13,2025-01-06,2025-01-13,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20250409,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20250409,2025-04-09,2025-04-09,2025-04-09,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20260323,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20260323,2026-03-23,2026-03-23,2026-03-24,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::cni2000::missed_region::cni2000_medium_bottom_20260721,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,cni2000,国证2000,missed_region,False,,,cni2000_medium_bottom_20260721,2026-07-21,2026-07-21,2026-07-21,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,False,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20190104,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20190104,2019-01-04,2018-12-25,2019-01-04,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,False,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20190806,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20190806,2019-08-06,2019-08-06,2019-08-15,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20200204,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20200204,2020-02-04,2020-02-04,2020-02-04,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20200324,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20200324,2020-03-24,2020-03-17,2020-04-02,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20210208,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20210208,2021-02-08,2021-02-04,2021-02-09,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::false_alarm::ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000001,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,false_alarm,False,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000001,2022-03-09,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,csi1000_medium_bottom_20220427,prediction,single_lobe,nearest_region_for_slice_only
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::matched::ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000002,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,matched,True,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000002,2022-04-22,csi1000_medium_bottom_20220427,2022-04-27,2022-04-26,2022-04-27,single_lobe,1,,prediction_window,False,False,prediction,-3,3,5,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000002,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,csi1000_medium_bottom_20220427,prediction,single_lobe,primary_match
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::matched::ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000003,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,matched,True,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000003,2022-09-19,csi1000_medium_bottom_20221012,2022-10-12,2022-10-10,2022-10-12,single_lobe,1,,prediction_window,False,False,prediction,-12,12,20,ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000003,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,csi1000_medium_bottom_20221012,prediction,single_lobe,primary_match
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20240205,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20240205,2024-02-05,2024-02-05,2024-02-06,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20240918,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20240918,2024-09-18,2024-09-10,2024-09-20,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20241014,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20241014,2024-10-14,2024-10-11,2024-10-16,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20250113,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20250113,2025-01-13,2025-01-06,2025-01-14,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20250409,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20250409,2025-04-09,2025-04-09,2025-04-09,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20260323,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20260323,2026-03-23,2026-03-23,2026-03-24,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi1000::missed_region::csi1000_medium_bottom_20260721,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi1000,中证1000,missed_region,False,,,csi1000_medium_bottom_20260721,2026-07-21,2026-07-20,2026-07-30,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,True,False,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi300::missed_region::csi300_medium_bottom_20190104,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi300,沪深300,missed_region,False,,,csi300_medium_bottom_20190104,2019-01-04,2018-12-25,2019-01-04,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,False,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi300::missed_region::csi300_medium_bottom_20190527,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi300,沪深300,missed_region,False,,,csi300_medium_bottom_20190527,2019-05-27,2019-05-20,2019-06-11,multi_lobe,4,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::onset::csi300::missed_region::csi300_medium_bottom_20190806,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,onset,csi300,沪深300,missed_region,False,,,csi300_medium_bottom_20190806,2019-08-06,2019-08-06,2019-08-15,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
