record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20190104,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20190104,2019-01-04,2018-12-25,2019-01-04,multi_lobe,2,,,False,False,,,,,,2019-01-02,2026-08-14,False,True,top_bottom_regions_v2,,,,
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::onset::all_a::false_alarm::ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000001,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,onset,all_a,全A,false_alarm,False,ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000001,2019-05-06,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20190606,prediction,multi_lobe,nearest_region_for_slice_only
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::onset::all_a::duplicate_alarm::ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000002,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,onset,all_a,全A,duplicate_alarm,False,ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000002,2019-05-09,all_a_medium_bottom_20190606,2019-06-06,2019-05-24,2019-06-11,multi_lobe,2,,prediction_window,False,False,prediction,-20,20,20,ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000003,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20190606,prediction,multi_lobe,duplicate_candidate
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::onset::all_a::matched::ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000003,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,onset,all_a,全A,matched,True,ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000003,2019-05-24,all_a_medium_bottom_20190606,2019-06-06,2019-05-24,2019-06-11,multi_lobe,2,all_a_medium_bottom_20190606_lobe_01,core_lobe,True,True,prediction,-9,9,10,ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000003,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20190606,prediction,multi_lobe,primary_match
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20190806,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20190806,2019-08-06,2019-08-06,2019-08-15,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20200204,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20200204,2020-02-04,2020-02-03,2020-02-04,single_lobe,1,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20200324,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20200324,2020-03-24,2020-03-17,2020-04-02,multi_lobe,5,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::onset::all_a::missed_region::all_a_medium_bottom_20210309,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20210309,2021-03-09,2021-03-09,2021-03-26,multi_lobe,3,,,False,False,,,,,,2019-01-02,2026-08-14,True,True,top_bottom_regions_v2,,,,
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::onset::all_a::false_alarm::ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000004,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,onset,all_a,全A,false_alarm,False,ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000004,2021-07-13,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20210309,confirmation,multi_lobe,nearest_region_for_slice_only
ml_elastic_net::bottom::all_a_ml_walk_forward_v2::onset::all_a::false_alarm::ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000005,ml_elastic_net,bottom,all_a_ml_walk_forward_v2,onset,all_a,全A,false_alarm,False,ml_elastic_net::bottom::all_a_ml_walk_forward_v2::000005,2021-07-22,,,,,,,,,False,False,,,,,,2019-01-02,2026-08-14,,,,all_a_medium_bottom_20210309,confirmation,multi_lobe,nearest_region_for_slice_only
