record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20121204,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20121204,2012-12-04,2012-11-29,2012-12-05,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20130416,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20130416,2013-04-16,2013-04-08,2013-05-02,multi_lobe,3,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::matched::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000001,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,matched,True,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000001,2013-06-27,all_a_medium_bottom_20130625,2013-06-25,2013-06-25,2013-06-25,single_lobe,1,,confirmation_window,False,False,confirmation,2,2,5,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000001,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20130625,confirmation,single_lobe,primary_match
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::matched::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000002,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,matched,True,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000002,2014-01-13,all_a_medium_bottom_20140120,2014-01-20,2014-01-07,2014-01-22,multi_lobe,3,all_a_medium_bottom_20140120_lobe_02,core_lobe,True,True,prediction,-5,5,5,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000002,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20140120,prediction,multi_lobe,primary_match
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::matched::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000003,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,matched,True,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000003,2014-05-07,all_a_medium_bottom_20140521,2014-05-21,2014-04-28,2014-06-19,multi_lobe,5,all_a_medium_bottom_20140521_lobe_02,core_lobe,True,True,prediction,-10,10,10,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000003,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20140521,prediction,multi_lobe,primary_match
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20150529,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20150529,2015-05-29,2015-05-29,2015-05-29,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20150623,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20150623,2015-06-23,2015-06-23,2015-06-23,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20150630,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20150630,2015-06-30,2015-06-30,2015-06-30,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20150709,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20150709,2015-07-09,2015-07-08,2015-07-09,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20150716,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20150716,2015-07-16,2015-07-16,2015-07-16,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20150728,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20150728,2015-07-28,2015-07-28,2015-08-04,multi_lobe,2,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20150826,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20150826,2015-08-26,2015-08-26,2015-08-27,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20150915,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20150915,2015-09-15,2015-09-15,2015-09-16,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20151130,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20151130,2015-11-30,2015-11-30,2015-11-30,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20160127,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20160127,2016-01-27,2016-01-27,2016-02-01,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20160229,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20160229,2016-02-29,2016-02-29,2016-03-01,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20160512,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20160512,2016-05-12,2016-05-12,2016-05-30,multi_lobe,4,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::false_alarm::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000004,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000004,2017-03-03,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_bottom_20170524,prediction,multi_lobe,nearest_region_for_slice_only
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::matched::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000005,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,matched,True,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000005,2017-04-25,all_a_medium_bottom_20170524,2017-05-24,2017-05-11,2017-06-02,multi_lobe,4,,prediction_window,False,False,prediction,-20,20,20,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000005,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20170524,prediction,multi_lobe,primary_match
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::false_alarm::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000006,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000006,2017-06-29,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_bottom_20170524,confirmation,multi_lobe,nearest_region_for_slice_only
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::false_alarm::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000007,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000007,2017-11-06,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_bottom_20180209,prediction,single_lobe,nearest_region_for_slice_only
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20180209,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20180209,2018-02-09,2018-02-09,2018-02-12,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::false_alarm::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000008,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000008,2018-06-08,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_bottom_20180209,confirmation,single_lobe,nearest_region_for_slice_only
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20181019,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20181019,2018-10-19,2018-10-18,2018-10-19,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20190104,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20190104,2019-01-04,2018-12-25,2019-01-04,multi_lobe,2,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::matched::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000009,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,matched,True,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000009,2019-06-14,all_a_medium_bottom_20190606,2019-06-06,2019-05-24,2019-06-11,multi_lobe,2,,confirmation_window,False,False,confirmation,5,5,5,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000009,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20190606,confirmation,multi_lobe,primary_match
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20190806,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20190806,2019-08-06,2019-08-06,2019-08-15,multi_lobe,3,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::false_alarm::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000010,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000010,2019-11-06,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_bottom_20200204,prediction,single_lobe,nearest_region_for_slice_only
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20200204,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20200204,2020-02-04,2020-02-03,2020-02-04,single_lobe,1,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::missed_region::all_a_medium_bottom_20200324,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20200324,2020-03-24,2020-03-17,2020-04-02,multi_lobe,5,,,False,False,,,,,,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,,,,
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::onset::all_a::false_alarm::limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000011,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000011,2020-09-17,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_bottom_20210309,prediction,multi_lobe,nearest_region_for_slice_only
