record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::onset::all_a::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,onset,all_a,全A,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,2012-01-11,all_a_medium_bottom_20120106,2012-01-06,2012-01-05,2012-01-09,single_lobe,1,,confirmation_window,False,False,confirmation,3,3,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,2012-01-04,2026-08-14,False,True,top_bottom_regions_v2,all_a_medium_bottom_20120106,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::onset::all_a::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000002,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,onset,all_a,全A,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000002,2012-01-20,all_a_medium_bottom_20120106,2012-01-06,2012-01-05,2012-01-09,single_lobe,1,,confirmation_window,False,False,confirmation,10,10,10,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,2012-01-04,2026-08-14,False,True,top_bottom_regions_v2,all_a_medium_bottom_20120106,confirmation,single_lobe,duplicate_candidate
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::onset::all_a::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000003,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,onset,all_a,全A,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000003,2012-02-02,all_a_medium_bottom_20120106,2012-01-06,2012-01-05,2012-01-09,single_lobe,1,,confirmation_window,False,False,confirmation,14,14,20,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,2012-01-04,2026-08-14,False,True,top_bottom_regions_v2,all_a_medium_bottom_20120106,confirmation,single_lobe,duplicate_candidate
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::onset::all_a::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000004,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,onset,all_a,全A,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000004,2012-04-10,all_a_medium_bottom_20120329,2012-03-29,2012-03-29,2012-04-10,multi_lobe,2,all_a_medium_bottom_20120329_lobe_02,core_lobe,True,True,confirmation,5,5,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000004,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20120329,confirmation,multi_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::onset::all_a::false_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000005,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,onset,all_a,全A,false_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000005,2012-09-28,,,,,,,,,False,False,,,,,,2012-01-04,2026-08-14,,,,all_a_medium_bottom_20121204,prediction,single_lobe,nearest_region_for_slice_only
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::onset::all_a::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000006,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,onset,all_a,全A,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000006,2012-12-05,all_a_medium_bottom_20121204,2012-12-04,2012-11-29,2012-12-05,single_lobe,1,all_a_medium_bottom_20121204_lobe_01,core_lobe,True,True,confirmation,1,1,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000006,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20121204,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::onset::all_a::duplicate_alarm::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000007,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,onset,all_a,全A,duplicate_alarm,False,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000007,2012-12-13,all_a_medium_bottom_20121204,2012-12-04,2012-11-29,2012-12-05,single_lobe,1,,confirmation_window,False,False,confirmation,7,7,10,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000006,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20121204,confirmation,single_lobe,duplicate_candidate
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::onset::all_a::missed_region::all_a_medium_bottom_20130416,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20130416,2013-04-16,2013-04-08,2013-05-02,multi_lobe,3,,,False,False,,,,,,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,,,,
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::onset::all_a::matched::multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000008,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,onset,all_a,全A,matched,True,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000008,2013-07-01,all_a_medium_bottom_20130625,2013-06-25,2013-06-25,2013-06-25,single_lobe,1,,confirmation_window,False,False,confirmation,4,4,5,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000008,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_bottom_20130625,confirmation,single_lobe,primary_match
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::onset::all_a::missed_region::all_a_medium_bottom_20140120,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_bottom_20140120,2014-01-20,2014-01-07,2014-01-22,multi_lobe,3,,,False,False,,,,,,2012-01-04,2026-08-14,True,True,top_bottom_regions_v2,,,,
