record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::missed_region::all_a_medium_top_20171113,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_top_20171113,2017-11-13,2017-10-16,2017-11-23,multi_lobe,4,,,False,False,,,,,,2017-01-03,2026-08-14,True,True,top_bottom_regions_v2,,,,
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::matched::single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000001,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,matched,True,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000001,2018-03-23,all_a_medium_top_20180312,2018-03-12,2018-03-07,2018-03-22,multi_lobe,2,,confirmation_window,False,False,confirmation,9,9,10,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000001,2017-01-03,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20180312,confirmation,multi_lobe,primary_match
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::missed_region::all_a_medium_top_20181119,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_top_20181119,2018-11-19,2018-11-13,2018-12-05,multi_lobe,2,,,False,False,,,,,,2017-01-03,2026-08-14,True,True,top_bottom_regions_v2,,,,
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::false_alarm::single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000002,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,false_alarm,False,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000002,2019-02-25,,,,,,,,,False,False,,,,,,2017-01-03,2026-08-14,,,,all_a_medium_top_20190408,prediction,multi_lobe,nearest_region_for_slice_only
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::false_alarm::single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000003,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,false_alarm,False,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000003,2019-03-04,,,,,,,,,False,False,,,,,,2017-01-03,2026-08-14,,,,all_a_medium_top_20190408,prediction,multi_lobe,nearest_region_for_slice_only
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::duplicate_alarm::single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000004,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,duplicate_alarm,False,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000004,2019-03-11,all_a_medium_top_20190408,2019-04-08,2019-04-03,2019-04-23,multi_lobe,2,,prediction_window,False,False,prediction,-19,19,20,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000005,2017-01-03,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20190408,prediction,multi_lobe,duplicate_candidate
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::matched::single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000005,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,matched,True,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000005,2019-04-25,all_a_medium_top_20190408,2019-04-08,2019-04-03,2019-04-23,multi_lobe,2,,confirmation_window,False,False,confirmation,13,13,20,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000005,2017-01-03,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20190408,confirmation,multi_lobe,primary_match
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::duplicate_alarm::single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000006,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,duplicate_alarm,False,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000006,2019-05-06,all_a_medium_top_20190408,2019-04-08,2019-04-03,2019-04-23,multi_lobe,2,,confirmation_window,False,False,confirmation,17,17,20,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000005,2017-01-03,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20190408,confirmation,multi_lobe,duplicate_candidate
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::duplicate_alarm::single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000007,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,duplicate_alarm,False,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000007,2019-05-09,all_a_medium_top_20190408,2019-04-08,2019-04-03,2019-04-23,multi_lobe,2,,confirmation_window,False,False,confirmation,20,20,20,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000005,2017-01-03,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20190408,confirmation,multi_lobe,duplicate_candidate
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::missed_region::all_a_medium_top_20190702,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_top_20190702,2019-07-02,2019-06-21,2019-07-08,multi_lobe,3,,,False,False,,,,,,2017-01-03,2026-08-14,True,True,top_bottom_regions_v2,,,,
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::false_alarm::single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000008,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,false_alarm,False,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000008,2019-08-05,,,,,,,,,False,False,,,,,,2017-01-03,2026-08-14,,,,all_a_medium_top_20190702,confirmation,multi_lobe,nearest_region_for_slice_only
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::false_alarm::single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000009,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,false_alarm,False,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000009,2019-10-29,,,,,,,,,False,False,,,,,,2017-01-03,2026-08-14,,,,all_a_medium_top_20200114,prediction,single_lobe,nearest_region_for_slice_only
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::false_alarm::single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000010,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,false_alarm,False,single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000010,2019-10-31,,,,,,,,,False,False,,,,,,2017-01-03,2026-08-14,,,,all_a_medium_top_20200114,prediction,single_lobe,nearest_region_for_slice_only
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::onset::all_a::missed_region::all_a_medium_top_20200114,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,onset,all_a,全A,missed_region,False,,,all_a_medium_top_20200114,2020-01-14,2020-01-06,2020-01-20,single_lobe,1,,,False,False,,,,,,2017-01-03,2026-08-14,True,True,top_bottom_regions_v2,,,,
