signal_id,direction,version,event_kind,aggregation,index_id,index_name,observation_unit,match_scope,timing_slice,region_form_slice,region_count,matched_region_count,missed_region_count,region_recall,episode_count,matched_episode_count,false_alarm_count,isolated_false_alarm_count,duplicate_alarm_count,unclassified_episode_count,episode_precision,median_lead_lag_days,q25_lead_lag_days,q75_lead_lag_days
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,all,all,131,17,114,0.1297709923664122,196,17,179,109,35,0,0.08673469387755102,0.0,-1.0,3.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,all,multi_lobe,75,9,66,0.12,119,9,110,61,28,0,0.07563025210084033,3.0,1.0,9.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,all,single_lobe,56,8,48,0.14285714285714285,77,8,69,48,7,0,0.1038961038961039,-1.0,-2.0,0.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,confirmation,all,131,8,123,0.061068702290076333,106,8,98,46,25,0,0.07547169811320754,6.0,1.0,9.5
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,confirmation,multi_lobe,75,7,68,0.09333333333333334,75,7,68,29,18,0,0.09333333333333334,9.0,2.0,10.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,confirmation,single_lobe,56,1,55,0.017857142857142856,31,1,30,17,7,0,0.03225806451612903,1.0,1.0,1.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,prediction,all,131,9,122,0.06870229007633588,90,9,81,63,10,0,0.1,-1.0,-2.0,-1.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,prediction,multi_lobe,75,2,73,0.02666666666666667,44,2,42,32,10,0,0.045454545454545456,-5.0,-7.0,-3.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,prediction,single_lobe,56,7,49,0.125,46,7,39,31,0,0,0.15217391304347827,-1.0,-2.0,-0.5
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,all,all,131,14,117,0.10687022900763359,196,14,182,109,35,0,0.07142857142857142,-0.5,-1.75,1.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,all,multi_lobe,75,6,69,0.08,119,6,113,61,28,0,0.05042016806722689,1.0,-0.5,2.5
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,all,single_lobe,56,8,48,0.14285714285714285,77,8,69,48,7,0,0.1038961038961039,-1.0,-2.0,0.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,confirmation,all,131,5,126,0.03816793893129771,106,5,101,46,25,0,0.04716981132075472,1.0,1.0,3.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,confirmation,multi_lobe,75,4,71,0.05333333333333334,75,4,71,29,18,0,0.05333333333333334,2.0,1.0,5.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,confirmation,single_lobe,56,1,55,0.017857142857142856,31,1,30,17,7,0,0.03225806451612903,1.0,1.0,1.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,prediction,all,131,9,122,0.06870229007633588,90,9,81,63,10,0,0.1,-1.0,-2.0,-1.0
single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,prediction,multi_lobe,75,2,73,0.02666666666666667,44,2,42,32,10,0,0.045454545454545456,-5.0,-7.0,-3.0
