record_id,signal_id,direction,version,event_kind,index_id,index_name,match_status,primary_match,episode_id,event_date,region_id,anchor_date,region_start,region_end,region_form,lobe_count,matched_lobe_id,match_level,strict_matched,loose_matched,timing,lead_lag_days,absolute_distance_days,window_days,primary_episode_id_for_region,coverage_start_date,coverage_end_date,prediction_window_complete,confirmation_window_complete,label_version,diagnostic_region_id,diagnostic_timing,diagnostic_region_form,diagnostic_assignment
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::false_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000001,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000001,2012-12-21,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_top_20130218,prediction,multi_lobe,nearest_region_for_slice_only
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::duplicate_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000002,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,duplicate_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000002,2013-01-23,all_a_medium_top_20130218,2013-02-18,2013-02-04,2013-03-01,multi_lobe,2,,prediction_window,False,False,prediction,-13,13,20,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000005,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20130218,prediction,multi_lobe,duplicate_candidate
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::duplicate_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000003,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,duplicate_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000003,2013-01-28,all_a_medium_top_20130218,2013-02-18,2013-02-04,2013-03-01,multi_lobe,2,,prediction_window,False,False,prediction,-10,10,10,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000005,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20130218,prediction,multi_lobe,duplicate_candidate
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::duplicate_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000004,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,duplicate_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000004,2013-01-31,all_a_medium_top_20130218,2013-02-18,2013-02-04,2013-03-01,multi_lobe,2,,prediction_window,False,False,prediction,-7,7,10,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000005,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20130218,prediction,multi_lobe,duplicate_candidate
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::matched::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000005,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,matched,True,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000005,2013-02-05,all_a_medium_top_20130218,2013-02-18,2013-02-04,2013-03-01,multi_lobe,2,all_a_medium_top_20130218_lobe_01,core_lobe,True,True,prediction,-4,4,5,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000005,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20130218,prediction,multi_lobe,primary_match
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::matched::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000006,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,matched,True,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000006,2013-05-29,all_a_medium_top_20130529,2013-05-29,2013-05-20,2013-06-04,single_lobe,1,all_a_medium_top_20130529_lobe_01,core_lobe,True,True,prediction,0,0,5,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000006,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20130529,prediction,single_lobe,primary_match
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::duplicate_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000007,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,duplicate_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000007,2013-06-03,all_a_medium_top_20130529,2013-05-29,2013-05-20,2013-06-04,single_lobe,1,all_a_medium_top_20130529_lobe_01,core_lobe,False,False,confirmation,3,3,5,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000006,2012-07-05,2026-08-14,True,True,top_bottom_regions_v2,all_a_medium_top_20130529,confirmation,single_lobe,duplicate_candidate
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::false_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000008,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000008,2013-07-18,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_top_20130529,confirmation,single_lobe,nearest_region_for_slice_only
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::false_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000009,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000009,2013-08-13,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_top_20131015,prediction,multi_lobe,nearest_region_for_slice_only
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::onset::all_a::false_alarm::all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000010,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,onset,all_a,全A,false_alarm,False,all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000010,2013-09-04,,,,,,,,,False,False,,,,,,2012-07-05,2026-08-14,,,,all_a_medium_top_20131015,prediction,multi_lobe,nearest_region_for_slice_only
