signal_id,direction,version,event_kind,aggregation,index_id,index_name,observation_unit,match_scope,timing_slice,region_form_slice,region_count,matched_region_count,missed_region_count,region_recall,episode_count,matched_episode_count,false_alarm_count,isolated_false_alarm_count,duplicate_alarm_count,unclassified_episode_count,episode_precision,median_lead_lag_days,q25_lead_lag_days,q75_lead_lag_days
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,all,all,242,47,195,0.19421487603305784,357,47,310,175,67,0,0.13165266106442577,-1.0,-3.0,3.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,all,multi_lobe,101,31,70,0.3069306930693069,148,31,117,59,41,0,0.20945945945945946,1.0,-5.0,5.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,all,single_lobe,141,16,125,0.11347517730496454,209,16,193,116,26,0,0.07655502392344497,-1.0,-1.25,0.25
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,confirmation,all,242,20,222,0.08264462809917356,165,20,145,65,35,0,0.12121212121212122,4.5,1.75,5.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,confirmation,multi_lobe,101,16,85,0.15841584158415842,77,16,61,28,24,0,0.2077922077922078,5.0,3.0,5.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,confirmation,single_lobe,141,4,137,0.028368794326241134,88,4,84,37,11,0,0.045454545454545456,1.0,1.0,1.25
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,prediction,all,242,27,215,0.1115702479338843,192,27,165,110,32,0,0.140625,-2.0,-7.5,-1.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,prediction,multi_lobe,101,15,86,0.1485148514851485,71,15,56,31,17,0,0.2112676056338028,-5.0,-10.0,-2.5
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,loose,prediction,single_lobe,141,12,129,0.0851063829787234,121,12,109,79,15,0,0.09917355371900827,-1.0,-2.0,-0.75
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,all,all,242,32,210,0.1322314049586777,357,32,325,175,67,0,0.0896358543417367,0.0,-2.0,2.25
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,all,multi_lobe,101,16,85,0.15841584158415842,148,16,132,59,41,0,0.10810810810810811,2.0,-2.25,5.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,all,single_lobe,141,16,125,0.11347517730496454,209,16,193,116,26,0,0.07655502392344497,-1.0,-1.25,0.25
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,confirmation,all,242,14,228,0.05785123966942149,165,14,151,65,35,0,0.08484848484848485,3.0,1.0,5.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,confirmation,multi_lobe,101,10,91,0.09900990099009901,77,10,67,28,24,0,0.12987012987012986,5.0,3.0,5.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,confirmation,single_lobe,141,4,137,0.028368794326241134,88,4,84,37,11,0,0.045454545454545456,1.0,1.0,1.25
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,prediction,all,242,18,224,0.0743801652892562,192,18,174,110,32,0,0.09375,-2.0,-3.0,-1.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,prediction,multi_lobe,101,6,95,0.0594059405940594,71,6,65,31,17,0,0.08450704225352113,-4.0,-5.0,-2.25
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,strict,prediction,single_lobe,141,12,129,0.0851063829787234,121,12,109,79,15,0,0.09917355371900827,-1.0,-2.0,-0.75
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,all,all,242,115,127,0.47520661157024796,357,115,242,175,67,0,0.32212885154061627,3.0,-3.0,6.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,all,multi_lobe,101,48,53,0.4752475247524752,148,48,100,59,41,0,0.32432432432432434,1.0,-9.0,5.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,all,single_lobe,141,67,74,0.475177304964539,209,67,142,116,26,0,0.32057416267942584,4.0,-2.0,6.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,confirmation,all,242,65,177,0.26859504132231404,165,65,100,65,35,0,0.3939393939393939,5.0,4.0,8.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,confirmation,multi_lobe,101,25,76,0.24752475247524752,77,25,52,28,24,0,0.3246753246753247,5.0,4.0,6.0
all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,capped_confirmation,all_indices,__all__,全部指数（指数-事件对）,index_region_or_index_episode_pair,window,confirmation,single_lobe,141,40,101,0.28368794326241137,88,40,48,37,11,0,0.45454545454545453,6.0,4.0,9.0
