fold_id,test_year,direction,bin_number,bin_lower,bin_upper,rows,mean_predicted_probability,observed_rate,absolute_gap,probability_status
episode_wf_2019,2019,top,2,0.2,0.3,6,0.24406857766863896,0.16666666666666666,0.0774019110019723,calibrated
episode_wf_2019,2019,bottom,1,0.1,0.2,7,0.15677682129817308,0.14285714285714285,0.013919678441030231,calibrated
episode_wf_2020,2020,top,1,0.1,0.2,1,0.19664366286155605,1.0,0.803356337138444,calibrated
episode_wf_2020,2020,top,2,0.2,0.3,2,0.2600586434770261,0.5,0.23994135652297388,calibrated
episode_wf_2020,2020,bottom,1,0.1,0.2,3,0.16125119434068924,0.6666666666666666,0.5054154723259774,calibrated
episode_wf_2021,2021,top,2,0.2,0.3,3,0.2662549650019028,0.0,0.2662549650019028,calibrated
episode_wf_2021,2021,bottom,2,0.2,0.3,1,0.21551130366874782,0.0,0.21551130366874782,calibrated
episode_wf_2022,2022,top,1,0.1,0.2,1,0.19830960789667829,0.0,0.19830960789667829,calibrated
episode_wf_2022,2022,top,2,0.2,0.3,3,0.23380986110753896,0.3333333333333333,0.09952347222579436,calibrated
episode_wf_2022,2022,bottom,1,0.1,0.2,1,0.1979816723406778,1.0,0.8020183276593222,calibrated
episode_wf_2022,2022,bottom,2,0.2,0.3,5,0.20712974813624455,0.2,0.007129748136244535,calibrated
episode_wf_2023,2023,top,2,0.2,0.3,2,0.2710490162397954,0.5,0.22895098376020462,calibrated
episode_wf_2023,2023,bottom,2,0.2,0.3,2,0.21154274043133442,0.0,0.21154274043133442,calibrated
episode_wf_2024,2024,top,2,0.2,0.3,6,0.23065213480067495,0.16666666666666666,0.0639854681340083,calibrated
episode_wf_2024,2024,top,3,0.3,0.4,1,0.35304065652608163,1.0,0.6469593434739184,calibrated
episode_wf_2024,2024,bottom,1,0.1,0.2,2,0.1936498579940893,0.0,0.1936498579940893,calibrated
episode_wf_2024,2024,bottom,2,0.2,0.3,7,0.2219212440677493,0.14285714285714285,0.07906410121060645,calibrated
episode_wf_2025,2025,top,2,0.2,0.3,6,0.23106715790488755,0.0,0.23106715790488755,calibrated
episode_wf_2025,2025,bottom,1,0.1,0.2,2,0.14844493047094226,0.5,0.35155506952905774,calibrated
episode_wf_2025,2025,bottom,2,0.2,0.3,1,0.25198620667016125,1.0,0.7480137933298387,calibrated
episode_wf_2026,2026,top,2,0.2,0.3,3,0.22706313815095835,0.3333333333333333,0.10627019518237496,calibrated
episode_wf_2026,2026,bottom,2,0.2,0.3,1,0.21027493515053453,1.0,0.7897250648494655,calibrated
episode_wf_2026,2026,bottom,3,0.3,0.4,1,0.3005534434515721,0.0,0.3005534434515721,calibrated
episode_wf_2026,2026,bottom,4,0.4,0.5,1,0.42307674975544585,1.0,0.5769232502445542,calibrated
