prediction_year,model_id,direction,training_cutoff_date,boundary_gap_trade_days,train_candidates,train_matches,test_candidates,model_fit_status
2016,l2_logistic,top,2015-12-03,20,32,7,8,fitted
2016,l2_logistic,bottom,2015-12-03,20,19,8,8,fitted
2017,l2_logistic,top,2016-12-02,20,40,9,4,fitted
2017,l2_logistic,bottom,2016-12-02,20,25,10,8,fitted
2018,l2_logistic,top,2017-12-01,20,44,9,2,fitted
2018,l2_logistic,bottom,2017-12-01,20,33,11,12,fitted
2019,l2_logistic,top,2018-11-30,20,46,11,6,fitted
2019,l2_logistic,bottom,2018-11-30,20,47,13,7,fitted
2020,l2_logistic,top,2019-12-03,20,51,12,3,fitted
2020,l2_logistic,bottom,2019-12-03,20,54,14,3,fitted
2021,l2_logistic,top,2020-12-03,20,55,14,3,fitted
2021,l2_logistic,bottom,2020-12-03,20,57,16,1,fitted
2022,l2_logistic,top,2021-12-03,20,58,14,4,fitted
2022,l2_logistic,bottom,2021-12-03,20,58,16,6,fitted
2023,l2_logistic,top,2022-12-02,20,62,15,2,fitted
2023,l2_logistic,bottom,2022-12-02,20,63,18,2,fitted
2024,l2_logistic,top,2023-12-01,20,64,16,7,fitted
2024,l2_logistic,bottom,2023-12-01,20,65,18,9,fitted
2025,l2_logistic,top,2024-12-03,20,71,18,6,fitted
2025,l2_logistic,bottom,2024-12-03,20,74,19,3,fitted
2026,l2_logistic,top,2025-12-03,20,77,18,3,fitted
2026,l2_logistic,bottom,2025-12-03,20,78,21,3,fitted
