date,signal_id,model_id,direction,version,test_year,raw_value,pred_score,pred_probability_episode_match,probability_status,filter_status,threshold,threshold_probability,candidate_present,source_candidate_episode_id,raw_triggered,triggered,universe_size,valid_count,target_operational_match,target_operational_strict_match,target_legacy_window_20d_match,target_legacy_strict_match,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2019-01-02,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-03,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-04,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,14.98841097384159,14.98841097384159,0.1498841097384159,calibrated,selected,18.019503681957165,0.18019503681957164,True,ma20_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000050,True,False,1,1,True,True,True,True,,,,inactive,False,False,False,False,,2
2019-01-07,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-08,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-09,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-10,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-11,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-14,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-15,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-16,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-17,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-18,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-21,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-22,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-23,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
2019-01-24,ma20_episode_ml_l2_logistic,l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2019,0.0,,,calibrated,selected,18.019503681957165,0.18019503681957164,False,,False,False,1,1,,,,,,,,inactive,False,False,False,False,,2
