episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000001,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,1,2020-02-10,2020-02-10,2020-02-11,1,closed,2,2020-02-11,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000002,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,2,2020-03-25,2020-03-25,2020-03-26,1,closed,2,2020-03-26,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000003,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,3,2020-09-17,2020-09-17,2020-09-18,1,closed,2,2020-09-18,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000004,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,4,2021-10-13,2021-10-13,2021-10-14,1,closed,2,2021-10-14,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000005,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,5,2022-02-08,2022-02-08,2022-02-09,1,closed,2,2022-02-09,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000006,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,6,2022-03-24,2022-03-24,2022-03-25,1,closed,2,2022-03-25,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000007,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,7,2022-12-30,2022-12-30,2023-01-03,1,closed,2,2023-01-03,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000008,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,8,2023-10-25,2023-10-25,2023-10-26,1,closed,2,2023-10-26,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000009,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,9,2024-01-25,2024-01-25,2024-01-26,1,closed,2,2024-01-26,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000010,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,10,2024-02-07,2024-02-07,2024-02-08,1,closed,2,2024-02-08,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000011,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,11,2024-04-23,2024-04-23,2024-04-24,1,closed,2,2024-04-24,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000012,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,12,2024-06-14,2024-06-14,2024-06-17,1,closed,2,2024-06-17,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000013,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,13,2024-07-01,2024-07-01,2024-07-02,1,closed,2,2024-07-02,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000014,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,14,2024-07-03,2024-07-03,2024-07-04,1,closed,2,2024-07-04,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000015,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,15,2024-07-15,2024-07-15,2024-07-16,1,closed,2,2024-07-16,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000016,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,16,2024-08-29,2024-08-29,2024-08-30,1,closed,2,2024-08-30,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000017,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,17,2025-04-14,2025-04-14,2025-04-15,1,closed,2,2025-04-15,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000018,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,18,2026-03-27,2026-03-27,2026-03-30,1,closed,2,2026-03-30,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000019,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,19,2026-06-15,2026-06-15,2026-06-16,1,closed,2,2026-06-16,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::bottom::all_a_ma20_episode_match_walk_forward_v1::000020,ma20_episode_ml_l2_logistic,bottom,all_a_ma20_episode_match_walk_forward_v1,20,2026-07-20,2026-07-20,2026-07-21,1,closed,2,2026-07-21,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::top::all_a_ma20_episode_match_walk_forward_v1::000001,ma20_episode_ml_l2_logistic,top,all_a_ma20_episode_match_walk_forward_v1,1,2020-01-15,2020-01-15,2020-01-16,1,closed,2,2020-01-16,short_episode_exit,confirmed,2019-01-02,2026-08-14
ma20_episode_ml_l2_logistic::top::all_a_ma20_episode_match_walk_forward_v1::000002,ma20_episode_ml_l2_logistic,top,all_a_ma20_episode_match_walk_forward_v1,2,2024-11-14,2024-11-14,2024-11-15,1,closed,2,2024-11-15,short_episode_exit,confirmed,2019-01-02,2026-08-14
