fold_id,test_year,model_id,direction,horizon_trade_days,rows,positives,prevalence,brier_score,log_loss,roc_auc,average_precision,target_semantics,probability_status,expected_calibration_error
episode_wf_2019,2019,l2_logistic,top,0,6,1,0.16666666666666666,0.14852274865848267,0.47722068587157135,0.19999999999999996,0.2,ma20_candidate_operational_episode_match,calibrated,0.0774019110019723
episode_wf_2019,2019,l2_logistic,bottom,0,7,1,0.14285714285714285,0.12475610196080446,0.418555085967481,0.33333333333333337,0.2,ma20_candidate_operational_episode_match,calibrated,0.013919678441030231
episode_wf_2020,2020,l2_logistic,top,0,3,2,0.6666666666666666,0.40935779011329004,1.0636114181418588,0.5,0.8333333333333333,ma20_candidate_operational_episode_match,calibrated,0.42774635006146394
episode_wf_2020,2020,l2_logistic,bottom,0,3,2,0.6666666666666666,0.4759460981287708,1.2687960747205056,1.0,1.0,ma20_candidate_operational_episode_match,calibrated,0.5054154723259774
episode_wf_2021,2021,l2_logistic,top,0,3,0,0.0,0.07108702853611604,0.30977587674241286,,,ma20_candidate_operational_episode_match,calibrated,0.2662549650019028
episode_wf_2021,2021,l2_logistic,bottom,0,1,0,0.0,0.04644512200900324,0.2427231156684309,,,ma20_candidate_operational_episode_match,calibrated,0.21551130366874782
episode_wf_2022,2022,l2_logistic,top,0,4,1,0.25,0.1737437579259643,0.5238037787969242,1.0,1.0,ma20_candidate_operational_episode_match,calibrated,0.12422000614351533
episode_wf_2022,2022,l2_logistic,bottom,0,6,2,0.3333333333333333,0.24097323681311844,0.6882444930488402,0.125,0.29166666666666663,ma20_candidate_operational_episode_match,calibrated,0.1396111780567575
episode_wf_2023,2023,l2_logistic,top,0,2,1,0.5,0.28663895768094055,0.7711808417195388,1.0,1.0,ma20_candidate_operational_episode_match,calibrated,0.22895098376020462
episode_wf_2023,2023,l2_logistic,bottom,0,2,0,0.0,0.044792402596533804,0.23771091774600728,,,ma20_candidate_operational_episode_match,calibrated,0.21154274043133442
episode_wf_2024,2024,l2_logistic,top,0,7,2,0.2857142857142857,0.1802641060131216,0.5395113706033162,0.9,0.8333333333333333,ma20_candidate_operational_episode_match,calibrated,0.14726745032542402
episode_wf_2024,2024,l2_logistic,bottom,0,9,1,0.1111111111111111,0.09555890243505819,0.3471795329321804,1.0,1.0,ma20_candidate_operational_episode_match,calibrated,0.10452760271804708
episode_wf_2025,2025,l2_logistic,top,0,6,0,0.0,0.05363526930173836,0.26295684859484925,,,ma20_candidate_operational_episode_match,calibrated,0.23106715790488755
episode_wf_2025,2025,l2_logistic,bottom,0,3,2,0.6666666666666666,0.42393771177652667,1.1043161510371717,1.0,1.0,ma20_candidate_operational_episode_match,calibrated,0.48370797746265143
episode_wf_2026,2026,l2_logistic,top,0,3,1,0.3333333333333333,0.24735358784489977,0.7055761612840793,0.0,0.3333333333333333,ma20_candidate_operational_episode_match,calibrated,0.10627019518237496
episode_wf_2026,2026,l2_logistic,bottom,0,3,2,0.6666666666666666,0.3489461623649434,0.9256689848618094,0.5,0.8333333333333333,ma20_candidate_operational_episode_match,calibrated,0.5557339195151972
