fold_id,test_year,direction,probability_status,filter_status,calibration_method,calibration_candidates,calibration_matches,calibration_nonmatches,threshold_probability,annual_candidate_budget,candidate_budget,min_selected_candidates,min_match_recall,selected_calibration_candidates,selected_calibration_matches,calibration_selected_precision,calibration_selected_match_recall,calibration_precision_wilson_lower,test_candidates,test_matches,retained_test_candidates,retained_test_matches,test_filter_precision,test_match_recall
episode_wf_2019,2019,top,calibrated,selected,sigmoid,14,4,10,0.2816037633142249,6,18,6,0.6,8,4,0.5,1.0,0.2152125268244419,6,1,0,0,,0.0
episode_wf_2019,2019,bottom,calibrated,selected,sigmoid,28,5,23,0.18019503681957164,6,18,6,0.6,11,3,0.2727272727272727,0.6,0.09745880573921469,7,1,0,0,,0.0
episode_wf_2020,2020,top,calibrated,selected,sigmoid,19,5,14,0.2712452773875739,6,24,6,0.6,8,4,0.5,0.8,0.2152125268244419,3,2,1,1,1.0,0.5
episode_wf_2020,2020,bottom,calibrated,passthrough_no_feasible_threshold,sigmoid,35,6,29,0.0,6,24,6,0.6,35,6,0.17142857142857143,1.0,0.08102529944856719,3,2,3,2,0.6666666666666666,1.0
episode_wf_2021,2021,top,calibrated,selected,sigmoid,23,7,16,0.31005639733207724,6,30,6,0.6,9,5,0.5555555555555556,0.7142857142857143,0.26664734574402965,3,0,0,0,,
episode_wf_2021,2021,bottom,calibrated,selected,sigmoid,38,8,30,0.21281325557763062,6,30,6,0.6,14,5,0.35714285714285715,0.625,0.16344490737202735,1,0,1,0,0.0,
episode_wf_2022,2022,top,calibrated,selected,sigmoid,26,7,19,0.29220282123980273,6,36,6,0.6,9,5,0.5555555555555556,0.7142857142857143,0.26664734574402965,4,1,0,0,,0.0
episode_wf_2022,2022,bottom,calibrated,selected,sigmoid,39,8,31,0.2066445356855956,6,36,6,0.6,15,5,0.3333333333333333,0.625,0.15176100694691236,6,2,3,0,0.0,0.0
episode_wf_2023,2023,top,calibrated,selected,sigmoid,30,8,22,0.30196594377561126,6,42,6,0.6,9,5,0.5555555555555556,0.625,0.26664734574402965,2,1,0,0,,0.0
episode_wf_2023,2023,bottom,calibrated,selected,sigmoid,44,10,34,0.21069832140395717,6,42,6,0.6,42,10,0.23809523809523808,1.0,0.13480820811018185,2,0,1,0,0.0,
episode_wf_2024,2024,top,calibrated,selected,sigmoid,32,9,23,0.30380721761176377,6,48,6,0.6,14,6,0.42857142857142855,0.6666666666666666,0.21380509930400526,7,2,1,1,1.0,0.5
episode_wf_2024,2024,bottom,calibrated,selected,sigmoid,46,10,36,0.19282796811696631,6,48,6,0.6,44,10,0.22727272727272727,1.0,0.12841810830185088,9,1,8,1,0.125,1.0
episode_wf_2025,2025,top,calibrated,selected,sigmoid,39,11,28,0.3186411675882713,6,54,6,0.6,15,7,0.4666666666666667,0.6363636363636364,0.24809225259746442,6,0,0,0,,
episode_wf_2025,2025,bottom,calibrated,selected,sigmoid,55,11,44,0.17633262337436179,6,54,6,0.6,34,8,0.23529411764705882,0.7272727272727273,0.12436838109244344,3,2,1,1,1.0,0.5
episode_wf_2026,2026,top,calibrated,selected,sigmoid,45,11,34,0.29035570763886154,6,60,6,0.6,15,7,0.4666666666666667,0.6363636363636364,0.24809225259746442,3,1,0,0,,0.0
episode_wf_2026,2026,bottom,calibrated,selected,sigmoid,59,13,46,0.171580573080006,6,60,6,0.6,48,12,0.25,0.9230769230769231,0.1492048880971003,3,2,3,2,0.6666666666666666,1.0
