fold_id,model_id,direction,target_semantics,train_rows,train_positives,validation_rows,validation_positives,model_fit_status,calibration_status
wf_2019,elastic_net,top,today_strict_lobe_membership,1316,125,223,19,fitted,sigmoid
wf_2019,elastic_net,bottom,today_strict_lobe_membership,1316,77,223,4,fitted,sigmoid
wf_2019,shallow_gbdt,top,today_strict_lobe_membership,1316,125,223,19,fitted,sigmoid
wf_2019,shallow_gbdt,bottom,today_strict_lobe_membership,1316,77,223,4,fitted,sigmoid
wf_2020,elastic_net,top,today_strict_lobe_membership,1559,144,224,22,fitted,sigmoid
wf_2020,elastic_net,bottom,today_strict_lobe_membership,1559,81,224,15,fitted,sigmoid
wf_2020,shallow_gbdt,top,today_strict_lobe_membership,1559,144,224,22,fitted,sigmoid
wf_2020,shallow_gbdt,bottom,today_strict_lobe_membership,1559,81,224,15,fitted,sigmoid
wf_2021,elastic_net,top,today_strict_lobe_membership,1803,169,223,19,fitted,sigmoid
wf_2021,elastic_net,bottom,today_strict_lobe_membership,1803,99,223,8,fitted,sigmoid
wf_2021,shallow_gbdt,top,today_strict_lobe_membership,1803,169,223,19,fitted,sigmoid
wf_2021,shallow_gbdt,bottom,today_strict_lobe_membership,1803,99,223,8,fitted,sigmoid
wf_2022,elastic_net,top,today_strict_lobe_membership,2046,188,223,4,fitted,sigmoid
wf_2022,elastic_net,bottom,today_strict_lobe_membership,2046,107,223,8,fitted,sigmoid
wf_2022,shallow_gbdt,top,today_strict_lobe_membership,2046,188,223,4,fitted,sigmoid
wf_2022,shallow_gbdt,bottom,today_strict_lobe_membership,2046,107,223,8,fitted,sigmoid
wf_2023,elastic_net,top,today_strict_lobe_membership,2289,192,222,11,fitted,sigmoid
wf_2023,elastic_net,bottom,today_strict_lobe_membership,2289,115,222,9,fitted,sigmoid
wf_2023,shallow_gbdt,top,today_strict_lobe_membership,2289,192,222,11,fitted,sigmoid
wf_2023,shallow_gbdt,bottom,today_strict_lobe_membership,2289,115,222,9,fitted,sigmoid
wf_2024,elastic_net,top,today_strict_lobe_membership,2531,217,222,26,fitted,sigmoid
wf_2024,elastic_net,bottom,today_strict_lobe_membership,2531,124,222,0,fitted,constant_validation_class
wf_2024,shallow_gbdt,top,today_strict_lobe_membership,2531,217,222,26,fitted,sigmoid
wf_2024,shallow_gbdt,bottom,today_strict_lobe_membership,2531,124,222,0,fitted,constant_validation_class
wf_2025,elastic_net,top,today_strict_lobe_membership,2773,243,222,24,fitted,sigmoid
wf_2025,elastic_net,bottom,today_strict_lobe_membership,2773,124,222,16,fitted,sigmoid
wf_2025,shallow_gbdt,top,today_strict_lobe_membership,2773,243,222,24,fitted,sigmoid
wf_2025,shallow_gbdt,bottom,today_strict_lobe_membership,2773,124,222,16,fitted,sigmoid
wf_2026,elastic_net,top,today_strict_lobe_membership,3015,267,223,17,fitted,sigmoid
wf_2026,elastic_net,bottom,today_strict_lobe_membership,3015,140,223,9,fitted,sigmoid
wf_2026,shallow_gbdt,top,today_strict_lobe_membership,3015,267,223,17,fitted,sigmoid
wf_2026,shallow_gbdt,bottom,today_strict_lobe_membership,3015,140,223,9,fitted,sigmoid
