fold_id,validation_year,test_year,model_id,direction,target_semantics,annual_episode_budget,threshold,validation_episode_count,validation_active_days,test_episode_count,test_active_days
wf_2019,2018,2019,elastic_net,top,today_strict_lobe_membership,6,25.518331067277195,6,14,9,88
wf_2019,2018,2019,elastic_net,bottom,today_strict_lobe_membership,6,8.923183710783126,6,10,1,1
wf_2019,2018,2019,shallow_gbdt,top,today_strict_lobe_membership,6,9.869699311154427,6,35,12,94
wf_2019,2018,2019,shallow_gbdt,bottom,today_strict_lobe_membership,6,4.151468583456676,6,11,3,3
wf_2020,2019,2020,elastic_net,top,today_strict_lobe_membership,6,19.850792577106322,6,13,3,11
wf_2020,2019,2020,elastic_net,bottom,today_strict_lobe_membership,6,32.03100317544045,6,11,2,4
wf_2020,2019,2020,shallow_gbdt,top,today_strict_lobe_membership,6,25.028050148043153,6,10,4,8
wf_2020,2019,2020,shallow_gbdt,bottom,today_strict_lobe_membership,6,51.861794161722315,6,6,2,3
wf_2021,2020,2021,elastic_net,top,today_strict_lobe_membership,6,25.176299998113144,6,18,0,0
wf_2021,2020,2021,elastic_net,bottom,today_strict_lobe_membership,6,25.672101314221045,6,9,4,4
wf_2021,2020,2021,shallow_gbdt,top,today_strict_lobe_membership,6,28.53689658685098,6,9,0,0
wf_2021,2020,2021,shallow_gbdt,bottom,today_strict_lobe_membership,6,40.03625459697896,6,11,1,1
wf_2022,2021,2022,elastic_net,top,today_strict_lobe_membership,6,2.3612298001763157,6,21,6,67
wf_2022,2021,2022,elastic_net,bottom,today_strict_lobe_membership,6,5.384209315844391,6,11,8,39
wf_2022,2021,2022,shallow_gbdt,top,today_strict_lobe_membership,6,5.07566793354937,6,13,10,38
wf_2022,2021,2022,shallow_gbdt,bottom,today_strict_lobe_membership,6,19.131873127686422,6,11,12,74
wf_2023,2022,2023,elastic_net,top,today_strict_lobe_membership,6,20.053389124819525,6,16,2,10
wf_2023,2022,2023,elastic_net,bottom,today_strict_lobe_membership,6,16.391179713016502,6,13,1,1
wf_2023,2022,2023,shallow_gbdt,top,today_strict_lobe_membership,6,15.957010442250185,6,11,2,15
wf_2023,2022,2023,shallow_gbdt,bottom,today_strict_lobe_membership,6,0.8042970885188263,6,113,16,87
wf_2024,2023,2024,elastic_net,top,today_strict_lobe_membership,6,25.748648104229893,6,31,8,85
wf_2024,2023,2024,elastic_net,bottom,today_strict_lobe_membership,6,0.4464285714285714,1,222,1,242
wf_2024,2023,2024,shallow_gbdt,top,today_strict_lobe_membership,6,34.43773359115535,6,30,10,80
wf_2024,2023,2024,shallow_gbdt,bottom,today_strict_lobe_membership,6,0.4464285714285714,1,222,1,242
wf_2025,2024,2025,elastic_net,top,today_strict_lobe_membership,6,29.515063363142563,6,21,6,27
wf_2025,2024,2025,elastic_net,bottom,today_strict_lobe_membership,6,12.808832949796,6,12,2,5
wf_2025,2024,2025,shallow_gbdt,top,today_strict_lobe_membership,6,33.812192016597265,6,10,3,45
wf_2025,2024,2025,shallow_gbdt,bottom,today_strict_lobe_membership,6,8.71391687626363,6,85,8,27
wf_2026,2025,2026,elastic_net,top,today_strict_lobe_membership,6,15.809027883912611,6,17,3,8
wf_2026,2025,2026,elastic_net,bottom,today_strict_lobe_membership,6,6.38295401667334,6,22,8,39
wf_2026,2025,2026,shallow_gbdt,top,today_strict_lobe_membership,6,9.563853200532092,6,61,3,24
wf_2026,2025,2026,shallow_gbdt,bottom,today_strict_lobe_membership,6,17.15625935847442,6,18,7,23
