fold_id,test_year,model_id,direction,bin_number,bin_lower,bin_upper,rows,mean_predicted_probability,observed_rate,absolute_gap,probability_status
wf_cal3_2019,2019,elastic_net,top,0,0.0,0.1,138,0.0619661826900519,0.014492753623188406,0.04747342906686349,calibrated
wf_cal3_2019,2019,elastic_net,top,1,0.1,0.2,54,0.14126288262584275,0.12962962962962962,0.011633252996213123,calibrated
wf_cal3_2019,2019,elastic_net,top,2,0.2,0.3,18,0.2522213287143795,0.3888888888888889,0.13666756017450937,calibrated
wf_cal3_2019,2019,elastic_net,top,3,0.3,0.4,15,0.34958083393100486,0.26666666666666666,0.0829141672643382,calibrated
wf_cal3_2019,2019,elastic_net,top,4,0.4,0.5,11,0.42073200864524335,0.18181818181818182,0.23891382682706153,calibrated
wf_cal3_2019,2019,elastic_net,top,5,0.5,0.6,4,0.5462583557433345,0.0,0.5462583557433345,calibrated
wf_cal3_2019,2019,elastic_net,top,6,0.6,0.7,4,0.6281425135662845,0.0,0.6281425135662845,calibrated
wf_cal3_2019,2019,elastic_net,bottom,0,0.0,0.1,241,0.020589471086935516,0.05394190871369295,0.033352437626757436,calibrated
wf_cal3_2019,2019,elastic_net,bottom,1,0.1,0.2,2,0.14386302935425674,0.5,0.35613697064574323,calibrated
wf_cal3_2019,2019,elastic_net,bottom,2,0.2,0.3,1,0.29655145785514525,1.0,0.7034485421448547,calibrated
wf_cal3_2019,2019,shallow_gbdt,top,0,0.0,0.1,143,0.05595409970828621,0.027972027972027972,0.027982071736258236,calibrated
wf_cal3_2019,2019,shallow_gbdt,top,1,0.1,0.2,48,0.13498657734635158,0.10416666666666667,0.03081991067968491,calibrated
wf_cal3_2019,2019,shallow_gbdt,top,2,0.2,0.3,19,0.24900915234063567,0.10526315789473684,0.14374599444589883,calibrated
wf_cal3_2019,2019,shallow_gbdt,top,3,0.3,0.4,29,0.35217490740058544,0.3448275862068966,0.0073473211936888605,calibrated
wf_cal3_2019,2019,shallow_gbdt,top,4,0.4,0.5,5,0.4125675967230059,0.2,0.2125675967230059,calibrated
wf_cal3_2019,2019,shallow_gbdt,bottom,0,0.0,0.1,223,0.014656638562465124,0.013452914798206279,0.0012037237642588457,calibrated
wf_cal3_2019,2019,shallow_gbdt,bottom,1,0.1,0.2,20,0.14058090965170683,0.55,0.4094190903482932,calibrated
wf_cal3_2019,2019,shallow_gbdt,bottom,2,0.2,0.3,1,0.23511886679752944,1.0,0.7648811332024705,calibrated
wf_cal3_2020,2020,elastic_net,top,0,0.0,0.1,129,0.07336279196433815,0.0,0.07336279196433815,calibrated
wf_cal3_2020,2020,elastic_net,top,1,0.1,0.2,83,0.1464802544661746,0.07228915662650602,0.07419109783966858,calibrated
wf_cal3_2020,2020,elastic_net,top,2,0.2,0.3,24,0.23450183475879371,0.5416666666666666,0.3071648319078729,calibrated
wf_cal3_2020,2020,elastic_net,top,3,0.3,0.4,7,0.3599883562191136,0.0,0.3599883562191136,calibrated
wf_cal3_2020,2020,elastic_net,bottom,0,0.0,0.1,237,0.017271241082816715,0.02531645569620253,0.008045214613385816,calibrated
wf_cal3_2020,2020,elastic_net,bottom,1,0.1,0.2,4,0.1156932166563335,0.0,0.1156932166563335,calibrated
wf_cal3_2020,2020,elastic_net,bottom,2,0.2,0.3,1,0.2228906266253787,1.0,0.7771093733746213,calibrated
wf_cal3_2020,2020,elastic_net,bottom,3,0.3,0.4,1,0.33336863400048766,1.0,0.6666313659995123,calibrated
wf_cal3_2020,2020,shallow_gbdt,top,0,0.0,0.1,121,0.055045500223410274,0.0,0.055045500223410274,calibrated
wf_cal3_2020,2020,shallow_gbdt,top,1,0.1,0.2,56,0.13958529817950857,0.05357142857142857,0.08601386960808,calibrated
wf_cal3_2020,2020,shallow_gbdt,top,2,0.2,0.3,43,0.26366114887688924,0.18604651162790697,0.07761463724898227,calibrated
wf_cal3_2020,2020,shallow_gbdt,top,3,0.3,0.4,23,0.32039087642819575,0.34782608695652173,0.02743521052832598,calibrated
wf_cal3_2020,2020,shallow_gbdt,bottom,0,0.0,0.1,228,0.007233241949528331,0.013157894736842105,0.005924652787313774,calibrated
wf_cal3_2020,2020,shallow_gbdt,bottom,1,0.1,0.2,8,0.14346287237021874,0.5,0.3565371276297813,calibrated
wf_cal3_2020,2020,shallow_gbdt,bottom,2,0.2,0.3,7,0.21640253799510267,0.14285714285714285,0.07354539513795982,calibrated
wf_cal3_2021,2021,elastic_net,top,0,0.0,0.1,138,0.06912541129462303,0.021739130434782608,0.047386280859840424,calibrated
wf_cal3_2021,2021,elastic_net,top,1,0.1,0.2,104,0.12772188866816744,0.14423076923076922,0.016508880562601774,calibrated
wf_cal3_2021,2021,elastic_net,top,2,0.2,0.3,1,0.2089027983124539,0.0,0.2089027983124539,calibrated
wf_cal3_2021,2021,elastic_net,bottom,0,0.0,0.1,233,0.014776679892752637,0.034334763948497854,0.019558084055745217,calibrated
wf_cal3_2021,2021,elastic_net,bottom,1,0.1,0.2,9,0.12501585237878518,0.0,0.12501585237878518,calibrated
wf_cal3_2021,2021,elastic_net,bottom,2,0.2,0.3,1,0.2068082429733471,0.0,0.2068082429733471,calibrated
wf_cal3_2021,2021,shallow_gbdt,top,0,0.0,0.1,144,0.051677617320272,0.020833333333333332,0.030844283986938666,calibrated
wf_cal3_2021,2021,shallow_gbdt,top,1,0.1,0.2,79,0.14178368256383073,0.10126582278481013,0.0405178597790206,calibrated
wf_cal3_2021,2021,shallow_gbdt,top,2,0.2,0.3,20,0.22078748023228462,0.35,0.12921251976771536,calibrated
wf_cal3_2021,2021,shallow_gbdt,bottom,0,0.0,0.1,241,0.004357037322738357,0.03319502074688797,0.02883798342414961,calibrated
wf_cal3_2021,2021,shallow_gbdt,bottom,1,0.1,0.2,2,0.15473741136924501,0.0,0.15473741136924501,calibrated
wf_cal3_2022,2022,elastic_net,top,0,0.0,0.1,219,0.040733470367976636,0.0182648401826484,0.022468630185328235,calibrated
wf_cal3_2022,2022,elastic_net,top,1,0.1,0.2,23,0.12569527020917562,0.30434782608695654,0.17865255587778092,calibrated
wf_cal3_2022,2022,elastic_net,bottom,0,0.0,0.1,189,0.023160160552032707,0.015873015873015872,0.007287144679016835,calibrated
