fold_id,model_id,direction,target_semantics,train_rows,train_positives,calibration_rows,calibration_positives,calibration_negatives,model_fit_status,calibration_method,probability_status,alert_eligible
wf_cal3_2019,elastic_net,top,today_strict_lobe_membership,830,64,709,73,636,fitted,sigmoid,calibrated,True
wf_cal3_2019,elastic_net,bottom,today_strict_lobe_membership,830,53,709,28,681,fitted,sigmoid,calibrated,True
wf_cal3_2019,shallow_gbdt,top,today_strict_lobe_membership,830,64,709,73,636,fitted,sigmoid,calibrated,True
wf_cal3_2019,shallow_gbdt,bottom,today_strict_lobe_membership,830,53,709,28,681,fitted,sigmoid,calibrated,True
wf_cal3_2020,elastic_net,top,today_strict_lobe_membership,1074,103,709,66,643,fitted,sigmoid,calibrated,True
wf_cal3_2020,elastic_net,bottom,today_strict_lobe_membership,1074,69,709,30,679,fitted,sigmoid,calibrated,True
wf_cal3_2020,shallow_gbdt,top,today_strict_lobe_membership,1074,103,709,66,643,fitted,sigmoid,calibrated,True
wf_cal3_2020,shallow_gbdt,bottom,today_strict_lobe_membership,1074,69,709,30,679,fitted,sigmoid,calibrated,True
wf_cal3_2021,elastic_net,top,today_strict_lobe_membership,1316,125,710,63,647,fitted,sigmoid,calibrated,True
wf_cal3_2021,elastic_net,bottom,today_strict_lobe_membership,1316,77,710,30,680,fitted,sigmoid,calibrated,True
wf_cal3_2021,shallow_gbdt,top,today_strict_lobe_membership,1316,125,710,63,647,fitted,sigmoid,calibrated,True
wf_cal3_2021,shallow_gbdt,bottom,today_strict_lobe_membership,1316,77,710,30,680,fitted,sigmoid,calibrated,True
wf_cal3_2022,elastic_net,top,today_strict_lobe_membership,1559,144,710,45,665,fitted,sigmoid,calibrated,True
wf_cal3_2022,elastic_net,bottom,today_strict_lobe_membership,1559,81,710,31,679,fitted,sigmoid,calibrated,True
wf_cal3_2022,shallow_gbdt,top,today_strict_lobe_membership,1559,144,710,45,665,fitted,sigmoid,calibrated,True
wf_cal3_2022,shallow_gbdt,bottom,today_strict_lobe_membership,1559,81,710,31,679,fitted,sigmoid,calibrated,True
wf_cal3_2023,elastic_net,top,today_strict_lobe_membership,1803,169,708,48,660,fitted,sigmoid,calibrated,True
wf_cal3_2023,elastic_net,bottom,today_strict_lobe_membership,1803,99,708,25,683,fitted,sigmoid,calibrated,True
wf_cal3_2023,shallow_gbdt,top,today_strict_lobe_membership,1803,169,708,48,660,fitted,sigmoid,calibrated,True
wf_cal3_2023,shallow_gbdt,bottom,today_strict_lobe_membership,1803,99,708,25,683,fitted,sigmoid,calibrated,True
wf_cal3_2024,elastic_net,top,today_strict_lobe_membership,2046,188,707,55,652,fitted,sigmoid,calibrated,True
wf_cal3_2024,elastic_net,bottom,today_strict_lobe_membership,2046,107,707,17,690,fitted,sigmoid,calibrated,True
wf_cal3_2024,shallow_gbdt,top,today_strict_lobe_membership,2046,188,707,55,652,fitted,sigmoid,calibrated,True
wf_cal3_2024,shallow_gbdt,bottom,today_strict_lobe_membership,2046,107,707,17,690,fitted,sigmoid,calibrated,True
wf_cal3_2025,elastic_net,top,today_strict_lobe_membership,2289,192,706,61,645,fitted,sigmoid,calibrated,True
wf_cal3_2025,elastic_net,bottom,today_strict_lobe_membership,2289,115,706,25,681,fitted,sigmoid,calibrated,True
wf_cal3_2025,shallow_gbdt,top,today_strict_lobe_membership,2289,192,706,61,645,fitted,sigmoid,calibrated,True
wf_cal3_2025,shallow_gbdt,bottom,today_strict_lobe_membership,2289,115,706,25,681,fitted,sigmoid,calibrated,True
wf_cal3_2026,elastic_net,top,today_strict_lobe_membership,2531,217,707,67,640,fitted,sigmoid,calibrated,True
wf_cal3_2026,elastic_net,bottom,today_strict_lobe_membership,2531,124,707,25,682,fitted,sigmoid,calibrated,True
wf_cal3_2026,shallow_gbdt,top,today_strict_lobe_membership,2531,217,707,67,640,fitted,sigmoid,calibrated,True
wf_cal3_2026,shallow_gbdt,bottom,today_strict_lobe_membership,2531,124,707,25,682,fitted,sigmoid,calibrated,True
