episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000001,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,1,2022-03-09,2022-03-09,2022-03-10,1,closed,2,2022-03-10,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000002,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,2,2022-04-22,2022-04-28,2022-04-29,5,closed,2,2022-04-25,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_elastic_net::bottom::all_a_ml_today_walk_forward_v2::000003,ml_today_calibrated_elastic_net,bottom,all_a_ml_today_walk_forward_v2,3,2022-09-19,2022-09-19,2022-09-20,1,closed,2,2022-09-20,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_elastic_net::top::all_a_ml_today_walk_forward_v2::000001,ml_today_calibrated_elastic_net,top,all_a_ml_today_walk_forward_v2,1,2019-02-25,2019-03-25,2019-03-26,21,closed,2,2019-02-26,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_elastic_net::top::all_a_ml_today_walk_forward_v2::000002,ml_today_calibrated_elastic_net,top,all_a_ml_today_walk_forward_v2,2,2024-03-11,2024-03-22,2024-03-25,10,closed,2,2024-03-12,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_elastic_net::top::all_a_ml_today_walk_forward_v2::000003,ml_today_calibrated_elastic_net,top,all_a_ml_today_walk_forward_v2,3,2024-05-09,2024-05-14,2024-05-15,4,closed,2,2024-05-10,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_elastic_net::top::all_a_ml_today_walk_forward_v2::000004,ml_today_calibrated_elastic_net,top,all_a_ml_today_walk_forward_v2,4,2024-09-27,2024-10-10,2024-10-11,5,closed,2,2024-09-30,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_elastic_net::top::all_a_ml_today_walk_forward_v2::000005,ml_today_calibrated_elastic_net,top,all_a_ml_today_walk_forward_v2,5,2024-10-28,2024-10-29,2024-10-30,2,closed,2,2024-10-29,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_elastic_net::top::all_a_ml_today_walk_forward_v2::000006,ml_today_calibrated_elastic_net,top,all_a_ml_today_walk_forward_v2,6,2024-12-09,2024-12-16,2024-12-17,6,closed,2,2024-12-10,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_elastic_net::top::all_a_ml_today_walk_forward_v2::000007,ml_today_calibrated_elastic_net,top,all_a_ml_today_walk_forward_v2,7,2025-08-25,2025-08-28,2025-08-29,4,closed,2,2025-08-26,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_elastic_net::top::all_a_ml_today_walk_forward_v2::000008,ml_today_calibrated_elastic_net,top,all_a_ml_today_walk_forward_v2,8,2026-01-12,2026-01-19,2026-01-20,6,closed,2,2026-01-13,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_shallow_gbdt::bottom::all_a_ml_today_walk_forward_v2::000001,ml_today_calibrated_shallow_gbdt,bottom,all_a_ml_today_walk_forward_v2,1,2022-01-25,2022-02-09,2022-02-10,7,closed,2,2022-01-26,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_shallow_gbdt::bottom::all_a_ml_today_walk_forward_v2::000002,ml_today_calibrated_shallow_gbdt,bottom,all_a_ml_today_walk_forward_v2,2,2022-03-08,2022-03-09,2022-03-10,2,closed,2,2022-03-09,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_shallow_gbdt::bottom::all_a_ml_today_walk_forward_v2::000003,ml_today_calibrated_shallow_gbdt,bottom,all_a_ml_today_walk_forward_v2,3,2022-04-11,2022-04-18,2022-04-19,6,closed,2,2022-04-12,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_shallow_gbdt::bottom::all_a_ml_today_walk_forward_v2::000004,ml_today_calibrated_shallow_gbdt,bottom,all_a_ml_today_walk_forward_v2,4,2022-09-01,2022-09-01,2022-09-02,1,closed,2,2022-09-02,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_shallow_gbdt::bottom::all_a_ml_today_walk_forward_v2::000005,ml_today_calibrated_shallow_gbdt,bottom,all_a_ml_today_walk_forward_v2,5,2022-09-29,2022-10-12,2022-10-13,5,closed,2,2022-09-30,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_today_calibrated_shallow_gbdt::top::all_a_ml_today_walk_forward_v2::000001,ml_today_calibrated_shallow_gbdt,top,all_a_ml_today_walk_forward_v2,1,2025-07-17,2025-07-30,2025-07-31,10,closed,2,2025-07-18,nth_active_day,confirmed,2019-01-02,2026-08-14
