fold_id,test_year,model_id,direction,horizon_trade_days,rows,positives,prevalence,brier_score,log_loss,roc_auc,average_precision,target_semantics,probability_status,expected_calibration_error
wf_cal3_2019,2019,elastic_net,top,0,244,22,0.09016393442622951,0.08820239692813153,0.2942257936852491,0.7735462735462736,0.18429080223220182,today_strict_lobe_membership,calibrated,0.07462669277649615
wf_cal3_2019,2019,elastic_net,bottom,0,244,15,0.06147540983606557,0.0526410307517113,0.18343577535919883,0.9254730713245998,0.5274804653829749,today_strict_lobe_membership,calibrated,0.038744507997888866
wf_cal3_2019,2019,shallow_gbdt,top,0,244,22,0.09016393442622951,0.07446204713535218,0.2680854286196478,0.75,0.31499090476027747,today_strict_lobe_membership,calibrated,0.03888473837546675
wf_cal3_2019,2019,shallow_gbdt,bottom,0,244,15,0.06147540983606557,0.04809842905039707,0.15247939680988606,0.9572052401746726,0.630472720097544,today_strict_lobe_membership,calibrated,0.03779382516228712
wf_cal3_2020,2020,elastic_net,top,0,243,19,0.07818930041152264,0.06351162990275502,0.2335165055397725,0.9278665413533834,0.3638176851850159,today_strict_lobe_membership,calibrated,0.10499397425273603
wf_cal3_2020,2020,elastic_net,bottom,0,243,8,0.03292181069958848,0.027286873872365572,0.10099147389318759,0.9308510638297872,0.399426164110927,today_strict_lobe_membership,calibrated,0.015692302343094263
wf_cal3_2020,2020,shallow_gbdt,top,0,243,19,0.07818930041152264,0.06546468106009426,0.23613890346354138,0.8738251879699248,0.41506231631552826,today_strict_lobe_membership,calibrated,0.06356263978988831
wf_cal3_2020,2020,shallow_gbdt,bottom,0,243,8,0.03292181069958848,0.02681822696738324,0.08346094854101176,0.9638297872340426,0.3415883458646617,today_strict_lobe_membership,calibrated,0.01941537293214613
wf_cal3_2021,2021,elastic_net,top,0,243,18,0.07407407407407407,0.06545300911594744,0.24477268334553434,0.8076543209876543,0.20543841838703183,today_strict_lobe_membership,calibrated,0.03483593882913999
wf_cal3_2021,2021,elastic_net,bottom,0,243,8,0.03292181069958848,0.033263314353584435,0.1617825055913055,0.6414893617021277,0.04725854961681053,today_strict_lobe_membership,calibrated,0.024234504112638063
