fold_id,test_year,model_id,direction,probability_status,alert_eligible,annual_episode_budget,calibration_episode_budget,candidate_entry_probability,entry_probability,exit_probability,cooldown_days,raw_calibration_episode_count,calibration_episode_count,calibration_active_days,raw_test_episode_count,test_episode_count,test_active_days
wf_cal3_2019,2019,elastic_net,top,calibrated,True,6,18,0.1771704068254586,0.5,0.3,10,0,0,0,4,1,21
wf_cal3_2019,2019,elastic_net,bottom,calibrated,True,6,18,0.1714194657815686,0.5,0.3,10,1,1,1,0,0,0
wf_cal3_2019,2019,shallow_gbdt,top,calibrated,True,6,18,0.28525937610957575,0.5,0.3,10,1,1,5,0,0,0
wf_cal3_2019,2019,shallow_gbdt,bottom,calibrated,True,6,18,0.15169538575983338,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2020,2020,elastic_net,top,calibrated,True,6,18,0.13400339858843463,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2020,2020,elastic_net,bottom,calibrated,True,6,18,0.1989274690734044,0.5,0.3,10,1,1,2,0,0,0
wf_cal3_2020,2020,shallow_gbdt,top,calibrated,True,6,18,0.14792375346593944,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2020,2020,shallow_gbdt,bottom,calibrated,True,6,18,0.18751961004573167,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2021,2021,elastic_net,top,calibrated,True,6,18,0.1363752143768851,0.5,0.3,10,4,2,10,0,0,0
wf_cal3_2021,2021,elastic_net,bottom,calibrated,True,6,18,0.14832539539179346,0.5,0.3,10,3,3,8,0,0,0
wf_cal3_2021,2021,shallow_gbdt,top,calibrated,True,6,18,0.22903086844968004,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2021,2021,shallow_gbdt,bottom,calibrated,True,6,18,0.22628896641787097,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2022,2022,elastic_net,top,calibrated,True,6,18,0.10055278997417715,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2022,2022,elastic_net,bottom,calibrated,True,6,18,0.2107015782258896,0.5,0.3,10,2,2,2,6,3,7
wf_cal3_2022,2022,shallow_gbdt,top,calibrated,True,6,18,0.17199174412022802,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2022,2022,shallow_gbdt,bottom,calibrated,True,6,18,0.2769825715865643,0.5,0.3,10,9,6,17,10,5,21
wf_cal3_2023,2023,elastic_net,top,calibrated,True,6,18,0.1605408353691491,0.5,0.3,10,3,2,8,0,0,0
wf_cal3_2023,2023,elastic_net,bottom,calibrated,True,6,18,0.1099368575179272,0.5,0.3,10,1,1,3,0,0,0
wf_cal3_2023,2023,shallow_gbdt,top,calibrated,True,6,18,0.17653910521751018,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2023,2023,shallow_gbdt,bottom,calibrated,True,6,18,0.24063081144039228,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2024,2024,elastic_net,top,calibrated,True,6,18,0.17972750442687574,0.5,0.3,10,3,2,15,6,5,27
wf_cal3_2024,2024,elastic_net,bottom,calibrated,True,6,18,0.05764465738982963,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2024,2024,shallow_gbdt,top,calibrated,True,6,18,0.27056160127788487,0.5,0.3,10,2,1,13,0,0,0
wf_cal3_2024,2024,shallow_gbdt,bottom,calibrated,True,6,18,0.11723602197285828,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2025,2025,elastic_net,top,calibrated,True,6,18,0.22020727214682773,0.5,0.3,10,4,3,20,1,1,4
wf_cal3_2025,2025,elastic_net,bottom,calibrated,True,6,18,0.08715926314406522,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2025,2025,shallow_gbdt,top,calibrated,True,6,18,0.3271377807980129,0.5,0.3,10,2,1,13,2,1,10
wf_cal3_2025,2025,shallow_gbdt,bottom,calibrated,True,6,18,0.00496436659601054,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2026,2026,elastic_net,top,calibrated,True,6,18,0.2505992475934957,0.5,0.3,10,3,3,9,1,1,6
wf_cal3_2026,2026,elastic_net,bottom,calibrated,True,6,18,0.09686684798693418,0.5,0.3,10,1,1,2,0,0,0
wf_cal3_2026,2026,shallow_gbdt,top,calibrated,True,6,18,0.04890750030830666,0.5,0.3,10,0,0,0,0,0,0
wf_cal3_2026,2026,shallow_gbdt,bottom,calibrated,True,6,18,0.14026668227490574,0.5,0.3,10,0,0,0,0,0,0
