fold_id,model_id,direction,horizon_trade_days,train_rows,train_positives,validation_rows,validation_positives,model_fit_status,calibration_status
wf_2019,simple_rule,top,5,1316,233,223,35,fixed_rule,sigmoid
wf_2019,simple_rule,top,10,1316,304,223,46,fixed_rule,sigmoid
wf_2019,simple_rule,top,20,1316,410,223,66,fixed_rule,sigmoid
wf_2019,simple_rule,bottom,5,1316,203,223,14,fixed_rule,sigmoid
wf_2019,simple_rule,bottom,10,1316,281,223,24,fixed_rule,sigmoid
wf_2019,simple_rule,bottom,20,1316,395,223,48,fixed_rule,sigmoid
wf_2019,elastic_net,top,5,1316,233,223,35,fitted,sigmoid
wf_2019,elastic_net,top,10,1316,304,223,46,fitted,sigmoid
wf_2019,elastic_net,top,20,1316,410,223,66,fitted,sigmoid
wf_2019,elastic_net,bottom,5,1316,203,223,14,fitted,sigmoid
wf_2019,elastic_net,bottom,10,1316,281,223,24,fitted,sigmoid
wf_2019,elastic_net,bottom,20,1316,395,223,48,fitted,sigmoid
wf_2019,shallow_xgboost,top,5,1316,233,223,35,fitted,sigmoid
wf_2019,shallow_xgboost,top,10,1316,304,223,46,fitted,sigmoid
wf_2019,shallow_xgboost,top,20,1316,410,223,66,fitted,sigmoid
wf_2019,shallow_xgboost,bottom,5,1316,203,223,14,fitted,sigmoid
wf_2019,shallow_xgboost,bottom,10,1316,281,223,24,fitted,sigmoid
wf_2019,shallow_xgboost,bottom,20,1316,395,223,48,fitted,sigmoid
wf_2020,simple_rule,top,5,1559,268,224,36,fixed_rule,sigmoid
wf_2020,simple_rule,top,10,1559,350,224,46,fixed_rule,sigmoid
wf_2020,simple_rule,top,20,1559,476,224,66,fixed_rule,sigmoid
wf_2020,simple_rule,bottom,5,1559,217,224,33,fixed_rule,sigmoid
wf_2020,simple_rule,bottom,10,1559,305,224,43,fixed_rule,sigmoid
wf_2020,simple_rule,bottom,20,1559,443,224,63,fixed_rule,sigmoid
wf_2020,elastic_net,top,5,1559,268,224,36,fitted,sigmoid
wf_2020,elastic_net,top,10,1559,350,224,46,fitted,sigmoid
wf_2020,elastic_net,top,20,1559,476,224,66,fitted,sigmoid
