date,signal_id,model_id,direction,version,fold_id,validation_year,test_year,raw_value,pred_score,threshold,raw_triggered,triggered,universe_size,valid_count,truth_intensity,pred_probability_5d,actual_entry_within_5d,pred_probability_10d,actual_entry_within_10d,pred_probability_20d,actual_entry_within_20d,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2019-01-02,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,10.969985671284247,10.969985671284247,12.559356430924332,False,False,1,1,43.196137300917904,0.096224304080242,1.0,0.1411428128555769,1.0,0.2237850463451107,1.0,,,,inactive,False,False,False,False,,2
2019-01-03,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,12.051545585021561,12.051545585021561,12.559356430924332,False,False,1,1,57.54614596853727,0.10975386845418919,1.0,0.14562582644094393,1.0,0.2254692879508741,1.0,,,,inactive,False,False,False,False,,2
2019-01-04,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,4.648253568169547,4.648253568169547,12.559356430924332,False,False,1,1,100.0,0.032703974873796254,1.0,0.07863251090012698,1.0,0.18185451600015273,1.0,,,,inactive,False,False,False,False,,2
2019-01-07,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.4513605731043842,1.4513605731043842,12.559356430924332,False,False,1,1,0.0,0.005174328517994401,0.0,0.036305252561492536,0.0,0.13782041564757475,0.0,,,,inactive,False,False,False,False,,2
2019-01-08,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.5188487213662858,1.5188487213662858,12.559356430924332,False,False,1,1,0.0,0.005839657681109613,0.0,0.03700242278962043,0.0,0.13981818213007685,0.0,,,,inactive,False,False,False,False,,2
2019-01-09,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.4035531147945555,1.4035531147945555,12.559356430924332,False,False,1,1,0.0,0.0053439478589399686,0.0,0.034315892155625256,0.0,0.13506838083579845,0.0,,,,inactive,False,False,False,False,,2
2019-01-10,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.39241914871335,1.39241914871335,12.559356430924332,False,False,1,1,0.0,0.005110345209861508,0.0,0.034489832800768144,0.0,0.13629899006001422,0.0,,,,inactive,False,False,False,False,,2
2019-01-11,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.0976013733408396,1.0976013733408396,12.559356430924332,False,False,1,1,0.0,0.0033670342245168757,0.0,0.02873029925415528,0.0,0.12982803005912788,0.0,,,,inactive,False,False,False,False,,2
2019-01-14,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.2437274472757922,1.2437274472757922,12.559356430924332,False,False,1,1,0.0,0.004803787629523088,0.0,0.030248743773639206,0.0,0.13298131932545115,0.0,,,,inactive,False,False,False,False,,2
2019-01-15,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.7814845289725193,0.7814845289725193,12.559356430924332,False,False,1,1,0.0,0.002182376010608081,0.0,0.02095727360766512,0.0,0.11370618134375453,0.0,,,,inactive,False,False,False,False,,2
2019-01-16,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.7866292063568672,0.7866292063568672,12.559356430924332,False,False,1,1,0.0,0.002128139673644517,0.0,0.02125531430672503,0.0,0.11263362708811846,0.0,,,,inactive,False,False,False,False,,2
2019-01-17,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.037256237648616,1.037256237648616,12.559356430924332,False,False,1,1,0.0,0.00379665667711105,0.0,0.025716342341694752,0.0,0.12201233220229017,0.0,,,,inactive,False,False,False,False,,2
2019-01-18,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.8651454998976812,0.8651454998976812,12.559356430924332,False,False,1,1,0.0,0.002390323947310185,0.0,0.02326076078619894,0.0,0.1174648592899073,0.0,,,,inactive,False,False,False,False,,2
2019-01-21,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.800033520949844,0.800033520949844,12.559356430924332,False,False,1,1,0.0,0.0017005200361770222,0.0,0.022699903947248416,0.0,0.12012617994228386,0.0,,,,inactive,False,False,False,False,,2
2019-01-22,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.984204989530793,0.984204989530793,12.559356430924332,False,False,1,1,0.0,0.0026536948651879814,0.0,0.026614878298921146,0.0,0.13548422019433862,0.0,,,,inactive,False,False,False,False,,2
2019-01-23,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.932395094949043,0.932395094949043,12.559356430924332,False,False,1,1,0.0,0.0021026151499781614,0.0,0.026173734481685727,0.0,0.13759859554566922,0.0,,,,inactive,False,False,False,False,,2
2019-01-24,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.8290355781193218,0.8290355781193218,12.559356430924332,False,False,1,1,0.0,0.0017285132224418005,0.0,0.023601321751613193,0.0,0.12758086708859143,0.0,,,,inactive,False,False,False,False,,2
2019-01-25,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.9664523599874878,0.9664523599874878,12.559356430924332,False,False,1,1,0.0,0.002279175920839105,0.0,0.02689700151762502,0.0,0.13542154491588082,0.0,,,,inactive,False,False,False,False,,2
2019-01-28,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.0587216925595764,1.0587216925595764,12.559356430924332,False,False,1,1,0.0,0.003067788695765285,0.0,0.02813254946186688,0.0,0.13784356198391676,0.0,,,,inactive,False,False,False,False,,2
2019-01-29,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.5715775411055524,1.5715775411055524,12.559356430924332,False,False,1,1,0.0,0.005342692613605457,0.0,0.03991963527177235,0.0,0.16736236080558056,0.0,,,,inactive,False,False,False,False,,2
2019-01-30,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.703481070231396,1.703481070231396,12.559356430924332,False,False,1,1,0.0,0.006051778131661714,0.0,0.04266188670050254,0.0,0.17078394171815178,0.0,,,,inactive,False,False,False,False,,2
2019-01-31,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.7498549224404698,1.7498549224404698,12.559356430924332,False,False,1,1,0.0,0.006991999038668487,0.0,0.042013832991122525,0.0,0.17508480211814614,0.0,,,,inactive,False,False,False,False,,2
2019-02-01,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,1.1815028448258567,1.1815028448258567,12.559356430924332,False,False,1,1,0.0,0.0033105249012447017,0.0,0.03165887005795759,0.0,0.1533166482570055,0.0,,,,inactive,False,False,False,False,,2
2019-02-11,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.7394099303313657,0.7394099303313657,12.559356430924332,False,False,1,1,0.0,0.0012737614954805869,0.0,0.021674887521590823,0.0,0.13088508481754488,0.0,,,,inactive,False,False,False,False,,2
2019-02-12,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.4948432179249618,0.4948432179249618,12.559356430924332,False,False,1,1,0.0,0.0007846429521213015,0.0,0.014663940375882359,0.0,0.10785214113902838,0.0,,,,inactive,False,False,False,False,,2
2019-02-13,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.37397509698327586,0.37397509698327586,12.559356430924332,False,False,1,1,0.0,0.0004817658134288586,0.0,0.011341716334775192,0.0,0.09168685106887761,0.0,,,,inactive,False,False,False,False,,2
2019-02-14,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.3391478990186961,0.3391478990186961,12.559356430924332,False,False,1,1,0.0,0.0003545308683906258,0.0,0.01047769127437841,0.0,0.09331405426155086,0.0,,,,inactive,False,False,False,False,,2
2019-02-15,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.4477358240533103,0.4477358240533103,12.559356430924332,False,False,1,1,0.0,0.0005943246701496085,0.0,0.013537769904761257,0.0,0.10282715984067853,0.0,,,,inactive,False,False,False,False,,2
2019-02-18,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.1614076545541875,0.1614076545541875,12.559356430924332,False,False,1,1,0.0,0.00012530164675494243,0.0,0.005087884642711385,0.0,0.06936529999285458,0.0,,,,inactive,False,False,False,False,,2
2019-02-19,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.16382955944813068,0.16382955944813068,12.559356430924332,False,False,1,1,0.0,0.00016572688539585867,0.0,0.005074289249014019,0.0,0.06577967887886738,0.0,,,,inactive,False,False,False,False,,2
2019-02-20,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.1983487181040454,0.1983487181040454,12.559356430924332,False,False,1,1,0.0,0.00020817822809287206,0.0,0.006125874737918146,0.0,0.07182590003495049,0.0,,,,inactive,False,False,False,False,,2
2019-02-21,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.1570121484061806,0.1570121484061806,12.559356430924332,False,False,1,1,0.0,0.00020502698109834707,0.0,0.0047553419909765445,0.0,0.0659328565545891,0.0,,,,inactive,False,False,False,False,,2
2019-02-22,ml_elastic_net,elastic_net,bottom,all_a_ml_walk_forward_v3,wf_2019,2018,2019,0.12614613202006217,0.12614613202006217,12.559356430924332,False,False,1,1,0.0,0.0001363591346548224,0.0,0.0038866997531408205,0.0,0.06067211787517188,0.0,,,,inactive,False,False,False,False,,2
