episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000001,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,1,2019-05-24,2019-05-24,2019-05-27,1,closed,2,2019-05-27,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000002,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,2,2021-03-09,2021-03-09,2021-03-10,1,closed,2,2021-03-10,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000003,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,3,2021-10-28,2021-10-28,2021-10-29,1,closed,2,2021-10-29,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000004,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,4,2022-01-27,2022-01-28,2022-02-07,2,closed,2,2022-01-28,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000005,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,5,2022-03-08,2022-03-09,2022-03-10,2,closed,2,2022-03-09,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000006,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,6,2022-03-15,2022-03-16,2022-03-17,2,closed,2,2022-03-16,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000007,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,7,2022-04-21,2022-04-22,2022-04-25,2,closed,2,2022-04-22,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000008,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,8,2022-05-06,2022-05-06,2022-05-09,1,closed,2,2022-05-09,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000009,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,9,2022-09-16,2022-09-19,2022-09-20,2,closed,2,2022-09-19,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000010,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,10,2022-09-21,2022-09-21,2022-09-22,1,closed,2,2022-09-22,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000011,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,11,2022-09-23,2022-09-26,2022-09-27,2,closed,2,2022-09-26,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000012,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,12,2022-09-28,2022-09-29,2022-09-30,2,closed,2,2022-09-29,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000013,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,13,2022-12-23,2022-12-23,2022-12-26,1,closed,2,2022-12-26,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000014,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,14,2023-08-25,2023-08-25,2023-08-28,1,closed,2,2023-08-28,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000015,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,15,2024-01-02,2024-01-03,2024-01-04,2,closed,2,2024-01-03,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000016,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,16,2025-01-02,2025-01-03,2025-01-06,2,closed,2,2025-01-03,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000017,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,17,2025-04-07,2025-04-08,2025-04-09,2,closed,2,2025-04-08,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000018,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,18,2026-03-19,2026-03-20,2026-03-23,2,closed,2,2026-03-20,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000019,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,19,2026-06-05,2026-06-08,2026-06-09,2,closed,2,2026-06-08,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000020,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,20,2026-07-08,2026-07-08,2026-07-09,1,closed,2,2026-07-09,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::bottom::all_a_ml_walk_forward_v3::000021,ml_elastic_net,bottom,all_a_ml_walk_forward_v3,21,2026-07-13,2026-07-14,2026-07-15,2,closed,2,2026-07-14,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000001,ml_elastic_net,top,all_a_ml_walk_forward_v3,1,2019-01-04,2019-01-04,2019-01-07,1,closed,2,2019-01-07,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000002,ml_elastic_net,top,all_a_ml_walk_forward_v3,2,2019-01-08,2019-01-09,2019-01-10,2,closed,2,2019-01-09,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000003,ml_elastic_net,top,all_a_ml_walk_forward_v3,3,2019-02-14,2019-02-14,2019-02-15,1,closed,2,2019-02-15,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000004,ml_elastic_net,top,all_a_ml_walk_forward_v3,4,2019-02-18,2019-02-19,2019-02-20,2,closed,2,2019-02-19,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000005,ml_elastic_net,top,all_a_ml_walk_forward_v3,5,2019-08-01,2019-08-01,2019-08-02,1,closed,2,2019-08-02,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000006,ml_elastic_net,top,all_a_ml_walk_forward_v3,6,2019-08-28,2019-08-28,2019-08-29,1,closed,2,2019-08-29,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000007,ml_elastic_net,top,all_a_ml_walk_forward_v3,7,2019-09-04,2019-09-05,2019-09-06,2,closed,2,2019-09-05,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000008,ml_elastic_net,top,all_a_ml_walk_forward_v3,8,2019-10-28,2019-10-29,2019-10-30,2,closed,2,2019-10-29,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000009,ml_elastic_net,top,all_a_ml_walk_forward_v3,9,2019-12-16,2019-12-17,2019-12-18,2,closed,2,2019-12-17,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000010,ml_elastic_net,top,all_a_ml_walk_forward_v3,10,2020-02-24,2020-02-24,2020-02-25,1,closed,2,2020-02-25,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000011,ml_elastic_net,top,all_a_ml_walk_forward_v3,11,2020-03-05,2020-03-05,2020-03-06,1,closed,2,2020-03-06,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000012,ml_elastic_net,top,all_a_ml_walk_forward_v3,12,2020-03-10,2020-03-10,2020-03-11,1,closed,2,2020-03-11,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000013,ml_elastic_net,top,all_a_ml_walk_forward_v3,13,2022-09-30,2022-09-30,2022-10-10,1,closed,2,2022-10-10,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000014,ml_elastic_net,top,all_a_ml_walk_forward_v3,14,2022-10-12,2022-10-12,2022-10-13,1,closed,2,2022-10-13,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000015,ml_elastic_net,top,all_a_ml_walk_forward_v3,15,2023-02-02,2023-02-02,2023-02-03,1,closed,2,2023-02-03,short_episode_exit,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000016,ml_elastic_net,top,all_a_ml_walk_forward_v3,16,2023-02-14,2023-02-15,2023-02-16,2,closed,2,2023-02-15,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000017,ml_elastic_net,top,all_a_ml_walk_forward_v3,17,2024-02-05,2024-02-06,2024-02-07,2,closed,2,2024-02-06,nth_active_day,confirmed,2019-01-02,2026-08-14
ml_elastic_net::top::all_a_ml_walk_forward_v3::000018,ml_elastic_net,top,all_a_ml_walk_forward_v3,18,2024-02-08,2024-02-08,2024-02-19,1,closed,2,2024-02-19,short_episode_exit,confirmed,2019-01-02,2026-08-14
