fold_id,validation_year,test_year,model_id,direction,annual_episode_budget,threshold,score_weight_5d,score_weight_10d,score_weight_20d,max_alert_active_days,validation_episode_count,raw_validation_active_days,validation_active_days,test_episode_count,raw_test_active_days,test_active_days
wf_2019,2018,2019,simple_rule,top,6,34.98496718636536,0.7,0.3,0.0,2,6,7,7,4,11,6
wf_2019,2018,2019,simple_rule,bottom,6,24.50514251138473,0.7,0.3,0.0,2,6,9,9,8,24,13
wf_2019,2018,2019,elastic_net,top,6,35.74450791221926,0.7,0.3,0.0,2,6,10,8,9,151,14
wf_2019,2018,2019,elastic_net,bottom,6,12.559356430924332,0.7,0.3,0.0,2,6,27,9,1,1,1
wf_2019,2018,2019,shallow_xgboost,top,6,23.42819147305427,0.7,0.3,0.0,2,6,24,10,4,207,8
wf_2019,2018,2019,shallow_xgboost,bottom,6,13.420265203746407,0.7,0.3,0.0,2,6,16,8,0,0,0
wf_2020,2019,2020,simple_rule,top,6,22.369009214415208,0.7,0.3,0.0,2,6,6,6,3,8,6
wf_2020,2019,2020,simple_rule,bottom,6,16.75661980167656,0.7,0.3,0.0,2,6,6,6,3,8,6
wf_2020,2019,2020,elastic_net,top,6,52.185397788712294,0.7,0.3,0.0,2,6,16,9,3,3,3
wf_2020,2019,2020,elastic_net,bottom,6,85.47242935177982,0.7,0.3,0.0,2,6,7,7,0,0,0
wf_2020,2019,2020,shallow_xgboost,top,6,38.15028442252027,0.7,0.3,0.0,2,6,11,10,2,2,2
wf_2020,2019,2020,shallow_xgboost,bottom,6,64.33853946300889,0.7,0.3,0.0,2,6,14,8,3,8,5
wf_2021,2020,2021,simple_rule,top,6,26.81765906122901,0.7,0.3,0.0,2,6,12,8,3,5,4
wf_2021,2020,2021,simple_rule,bottom,6,26.905580183592026,0.7,0.3,0.0,2,6,13,9,3,3,3
wf_2021,2020,2021,elastic_net,top,6,28.718356077929176,0.7,0.3,0.0,2,6,10,7,0,0,0
wf_2021,2020,2021,elastic_net,bottom,6,14.305544278698685,0.7,0.3,0.0,2,6,8,8,2,2,2
wf_2021,2020,2021,shallow_xgboost,top,6,18.492919124093476,0.7,0.3,0.0,2,6,11,8,0,0,0
wf_2021,2020,2021,shallow_xgboost,bottom,6,36.78008033781888,0.7,0.3,0.0,2,6,12,9,4,13,6
wf_2022,2021,2022,simple_rule,top,6,8.19771934230262,0.7,0.3,0.0,2,6,9,8,10,24,16
wf_2022,2021,2022,simple_rule,bottom,6,13.810536394368386,0.7,0.3,0.0,2,6,9,8,10,24,16
wf_2022,2021,2022,elastic_net,top,6,19.30695012623165,0.7,0.3,0.0,2,6,11,8,2,2,2
wf_2022,2021,2022,elastic_net,bottom,6,28.62071769027264,0.7,0.3,0.0,2,6,12,10,10,25,17
wf_2022,2021,2022,shallow_xgboost,top,6,3.2675393689887575,0.7,0.3,0.0,2,6,204,12,8,220,15
wf_2022,2021,2022,shallow_xgboost,bottom,6,24.236109077167793,0.7,0.3,0.0,2,6,26,9,14,93,25
