region_id,lobe_id,index_id,index_name,event_type,scale,lobe_number,lobe_start,lobe_end,lobe_start_position,lobe_end_position,representative_date,representative_position,representative_price,relative_anchor_price,core_days,gap_from_previous_lobe,small_pivot_count,small_pivot_dates,label_version
sse_composite_medium_top_20000111,sse_composite_medium_top_20000111_lobe_01,sse_composite,上证指数,top,medium,1,2000-01-07,2000-01-11,3,5,2000-01-11,5,1547.7,0.0,3,,1,2000-01-11,top_bottom_regions_v1
sse_composite_medium_bottom_20000114,sse_composite_medium_bottom_20000114_lobe_01,sse_composite,上证指数,bottom,medium,1,2000-01-13,2000-01-19,7,11,2000-01-14,8,1401.7,0.0,5,,1,2000-01-14,top_bottom_regions_v1
sse_composite_medium_top_20000217,sse_composite_medium_top_20000217_lobe_01,sse_composite,上证指数,top,medium,1,2000-02-15,2000-02-15,20,20,2000-02-15,20,1746.44,-0.013801048066498067,1,,1,2000-02-15,top_bottom_regions_v1
sse_composite_medium_top_20000217,sse_composite_medium_top_20000217_lobe_02,sse_composite,上证指数,top,medium,2,2000-02-17,2000-02-17,22,22,2000-02-17,22,1770.88,0.0,1,1,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20000218,sse_composite_medium_bottom_20000218_lobe_01,sse_composite,上证指数,bottom,medium,1,2000-02-18,2000-02-18,23,23,2000-02-18,23,1583.58,0.0,1,,1,2000-02-18,top_bottom_regions_v1
sse_composite_medium_bottom_20000218,sse_composite_medium_bottom_20000218_lobe_02,sse_composite,上证指数,bottom,medium,2,2000-02-23,2000-02-24,26,27,2000-02-23,26,1586.63,0.0019260157364959785,2,2,1,2000-02-23,top_bottom_regions_v1
sse_composite_medium_top_20000306,sse_composite_medium_top_20000306_lobe_01,sse_composite,上证指数,top,medium,1,2000-02-29,2000-02-29,30,30,2000-02-29,30,1733.14,-0.016836659443391744,1,,0,,top_bottom_regions_v1
sse_composite_medium_top_20000306,sse_composite_medium_top_20000306_lobe_02,sse_composite,上证指数,top,medium,2,2000-03-03,2000-03-06,33,34,2000-03-06,34,1762.82,0.0,2,2,1,2000-03-06,top_bottom_regions_v1
sse_composite_medium_top_20000306,sse_composite_medium_top_20000306_lobe_03,sse_composite,上证指数,top,medium,3,2000-03-09,2000-03-10,37,38,2000-03-10,38,1743.13,-0.011169603249339022,2,2,1,2000-03-10,top_bottom_regions_v1
sse_composite_medium_bottom_20000316,sse_composite_medium_bottom_20000316_lobe_01,sse_composite,上证指数,bottom,medium,1,2000-03-16,2000-03-17,42,43,2000-03-16,42,1596.07,0.0,2,,1,2000-03-16,top_bottom_regions_v1
sse_composite_medium_top_20000421,sse_composite_medium_top_20000421_lobe_01,sse_composite,上证指数,top,medium,1,2000-04-07,2000-04-17,58,64,2000-04-14,63,1840.18,-0.009729531927717305,7,,0,,top_bottom_regions_v1
sse_composite_medium_top_20000421,sse_composite_medium_top_20000421_lobe_02,sse_composite,上证指数,top,medium,2,2000-04-19,2000-04-28,66,73,2000-04-21,68,1858.26,0.0,8,1,1,2000-04-21,top_bottom_regions_v1
sse_composite_medium_bottom_20000515,sse_composite_medium_bottom_20000515_lobe_01,sse_composite,上证指数,bottom,medium,1,2000-05-11,2000-05-18,77,82,2000-05-15,79,1695.53,0.0,6,,1,2000-05-15,top_bottom_regions_v1
sse_composite_medium_top_20000822,sse_composite_medium_top_20000822_lobe_01,sse_composite,上证指数,top,medium,1,2000-08-14,2000-08-30,144,156,2000-08-22,150,2114.52,0.0,13,,2,2000-08-22|2000-08-30,top_bottom_regions_v1
sse_composite_medium_bottom_20000925,sse_composite_medium_bottom_20000925_lobe_01,sse_composite,上证指数,bottom,medium,1,2000-09-19,2000-10-09,170,179,2000-09-25,174,1874.21,0.0,10,,1,2000-09-25,top_bottom_regions_v1
sse_composite_medium_bottom_20000925,sse_composite_medium_bottom_20000925_lobe_02,sse_composite,上证指数,bottom,medium,2,2000-10-13,2000-10-17,183,185,2000-10-17,185,1896.94,0.012127776503166654,3,3,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20000925,sse_composite_medium_bottom_20000925_lobe_03,sse_composite,上证指数,bottom,medium,3,2000-10-19,2000-10-19,187,187,2000-10-19,187,1911.18,0.01972564440484259,1,1,0,,top_bottom_regions_v1
sse_composite_medium_top_20010108,sse_composite_medium_top_20010108_lobe_01,sse_composite,上证指数,top,medium,1,2001-01-02,2001-01-15,239,248,2001-01-08,243,2131.98,0.0,10,,1,2001-01-08,top_bottom_regions_v1
sse_composite_medium_bottom_20010222,sse_composite_medium_bottom_20010222_lobe_01,sse_composite,上证指数,bottom,medium,1,2001-02-08,2001-02-08,256,256,2001-02-08,256,1926.4,0.01722480963997941,1,,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20010222,sse_composite_medium_bottom_20010222_lobe_02,sse_composite,上证指数,bottom,medium,2,2001-02-16,2001-02-16,262,262,2001-02-16,262,1911.87,0.009552323923581296,1,5,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20010222,sse_composite_medium_bottom_20010222_lobe_03,sse_composite,上证指数,bottom,medium,3,2001-02-21,2001-02-23,265,267,2001-02-22,266,1893.78,0.0,3,2,1,2001-02-22,top_bottom_regions_v1
sse_composite_medium_top_20010614,sse_composite_medium_top_20010614_lobe_01,sse_composite,上证指数,top,medium,1,2001-05-17,2001-05-25,321,327,2001-05-22,324,2218.44,-0.012019969449058698,7,,0,,top_bottom_regions_v1
sse_composite_medium_top_20010614,sse_composite_medium_top_20010614_lobe_02,sse_composite,上证指数,top,medium,2,2001-05-30,2001-06-18,330,343,2001-06-14,341,2245.43,0.0,14,2,1,2001-06-14,top_bottom_regions_v1
sse_composite_medium_top_20010614,sse_composite_medium_top_20010614_lobe_03,sse_composite,上证指数,top,medium,3,2001-06-22,2001-07-05,347,356,2001-06-27,350,2237.52,-0.00352271057213982,10,3,0,,top_bottom_regions_v1
sse_composite_medium_bottom_20011022,sse_composite_medium_bottom_20011022_lobe_01,sse_composite,上证指数,bottom,medium,1,2001-10-22,2001-10-22,428,428,2001-10-22,428,1514.86,0.0,1,,1,2001-10-22,top_bottom_regions_v1
sse_composite_medium_top_20011024,sse_composite_medium_top_20011024_lobe_01,sse_composite,上证指数,top,medium,1,2001-10-24,2001-10-24,430,430,2001-10-24,430,1744.92,0.0,1,,1,2001-10-24,top_bottom_regions_v1
sse_composite_medium_bottom_20011108,sse_composite_medium_bottom_20011108_lobe_01,sse_composite,上证指数,bottom,medium,1,2001-11-08,2001-11-08,441,441,2001-11-08,441,1550.46,0.0,1,,1,2001-11-08,top_bottom_regions_v1
sse_composite_medium_top_20011205,sse_composite_medium_top_20011205_lobe_01,sse_composite,上证指数,top,medium,1,2001-11-28,2001-12-11,455,464,2001-12-05,460,1776.02,0.0,10,,1,2001-12-05,top_bottom_regions_v1
sse_composite_medium_bottom_20020123,sse_composite_medium_bottom_20020123_lobe_01,sse_composite,上证指数,bottom,medium,1,2002-01-21,2002-01-23,490,492,2002-01-23,492,1346.17,0.0,3,,1,2002-01-23,top_bottom_regions_v1
sse_composite_medium_top_20020124,sse_composite_medium_top_20020124_lobe_01,sse_composite,上证指数,top,medium,1,2002-01-24,2002-01-25,493,494,2002-01-24,493,1478.54,0.0,2,,1,2002-01-24,top_bottom_regions_v1
sse_composite_medium_bottom_20020129,sse_composite_medium_bottom_20020129_lobe_01,sse_composite,上证指数,bottom,medium,1,2002-01-28,2002-01-29,495,496,2002-01-29,496,1339.2,0.0,2,,1,2002-01-29,top_bottom_regions_v1
sse_composite_medium_top_20020321,sse_composite_medium_top_20020321_lobe_01,sse_composite,上证指数,top,medium,1,2002-03-11,2002-03-12,515,516,2002-03-12,516,1672.04,-0.012887647812405922,2,,0,,top_bottom_regions_v1
sse_composite_medium_top_20020321,sse_composite_medium_top_20020321_lobe_02,sse_composite,上证指数,top,medium,2,2002-03-14,2002-03-15,518,519,2002-03-15,519,1676.51,-0.010248720385861887,2,1,0,,top_bottom_regions_v1
sse_composite_medium_top_20020321,sse_composite_medium_top_20020321_lobe_03,sse_composite,上证指数,top,medium,3,2002-03-19,2002-03-26,521,526,2002-03-21,523,1693.87,0.0,6,1,1,2002-03-21,top_bottom_regions_v1
