episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000001,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,1,2012-05-03,2012-05-07,2012-05-08,3,closed,2,2012-05-04,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000002,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,2,2013-01-23,2013-01-23,2013-01-24,1,closed,2,2013-01-24,short_episode_exit,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000003,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,3,2013-01-28,2013-02-08,2013-02-18,10,closed,2,2013-01-29,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000004,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,4,2013-02-28,2013-03-01,2013-03-04,2,closed,2,2013-03-01,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000005,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,5,2013-03-06,2013-03-06,2013-03-07,1,closed,2,2013-03-07,short_episode_exit,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000006,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,6,2013-09-03,2013-09-06,2013-09-09,4,closed,2,2013-09-04,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000007,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,7,2013-09-11,2013-09-16,2013-09-17,4,closed,2,2013-09-12,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000008,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,8,2013-09-18,2013-09-25,2013-09-26,4,closed,2,2013-09-23,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000009,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,9,2013-09-30,2013-10-10,2013-10-11,4,closed,2,2013-10-08,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000010,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,10,2013-10-21,2013-10-22,2013-10-23,2,closed,2,2013-10-22,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000011,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,11,2013-12-04,2013-12-05,2013-12-06,2,closed,2,2013-12-05,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000012,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,12,2013-12-09,2013-12-10,2013-12-11,2,closed,2,2013-12-10,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000013,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,13,2014-07-10,2014-07-10,2014-07-11,1,closed,2,2014-07-11,short_episode_exit,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000014,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,14,2014-07-17,2014-07-28,2014-07-29,8,closed,2,2014-07-18,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000015,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,15,2014-08-27,2014-08-27,2014-08-28,1,closed,2,2014-08-28,short_episode_exit,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000016,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,16,2014-08-29,2014-09-01,2014-09-02,2,closed,2,2014-09-01,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000017,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,17,2014-09-18,2014-09-18,2014-09-19,1,closed,2,2014-09-19,short_episode_exit,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000018,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,18,2014-09-23,2014-09-23,2014-09-24,1,closed,2,2014-09-24,short_episode_exit,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000019,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,19,2014-10-14,2014-10-16,2014-10-17,3,closed,2,2014-10-15,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000020,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,20,2014-10-20,2014-10-20,2014-10-21,1,closed,2,2014-10-21,short_episode_exit,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000021,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,21,2014-10-28,2014-11-24,2014-11-25,20,closed,2,2014-10-29,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000022,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,22,2014-12-01,2014-12-02,2014-12-03,2,closed,2,2014-12-02,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000023,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,23,2014-12-05,2014-12-08,2014-12-09,2,closed,2,2014-12-08,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000024,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,24,2014-12-10,2014-12-19,2014-12-22,8,closed,2,2014-12-11,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000025,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,25,2014-12-26,2015-01-09,2015-01-12,9,closed,2,2014-12-29,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000026,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,26,2015-01-15,2015-01-16,2015-01-19,2,closed,2,2015-01-16,nth_active_day,confirmed,2012-01-04,2026-08-14
all_a_ma20_breadth_price_divergence_top::top::breadth_price_divergence_v1_20120104_20260814::000027,all_a_ma20_breadth_price_divergence_top,top,breadth_price_divergence_v1_20120104_20260814,27,2015-04-16,2015-04-21,2015-04-22,4,closed,2,2015-04-17,nth_active_day,confirmed,2012-01-04,2026-08-14
