episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000001,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,1,2013-06-27,2013-06-27,2013-06-28,1,closed,2,2013-06-28,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000002,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,2,2014-01-13,2014-01-13,2014-01-14,1,closed,2,2014-01-14,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000003,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,3,2014-05-07,2014-05-07,2014-05-08,1,closed,2,2014-05-08,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000004,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,4,2017-03-03,2017-03-03,2017-03-06,1,closed,2,2017-03-06,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000005,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,5,2017-04-25,2017-04-25,2017-04-26,1,closed,2,2017-04-26,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000006,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,6,2017-06-29,2017-06-29,2017-06-30,1,closed,2,2017-06-30,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000007,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,7,2017-11-06,2017-11-06,2017-11-07,1,closed,2,2017-11-07,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000008,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,8,2018-06-08,2018-06-08,2018-06-11,1,closed,2,2018-06-11,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000009,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,9,2019-06-14,2019-06-14,2019-06-17,1,closed,2,2019-06-17,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000010,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,10,2019-11-06,2019-11-06,2019-11-07,1,closed,2,2019-11-07,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000011,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,11,2020-09-17,2020-09-17,2020-09-18,1,closed,2,2020-09-18,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000012,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,12,2020-10-29,2020-10-29,2020-10-30,1,closed,2,2020-10-30,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000013,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,13,2020-11-06,2020-11-06,2020-11-09,1,closed,2,2020-11-09,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000014,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,14,2022-01-28,2022-01-28,2022-02-07,1,closed,2,2022-02-07,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000015,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,15,2022-04-18,2022-04-18,2022-04-19,1,closed,2,2022-04-19,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000016,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,16,2022-04-28,2022-04-28,2022-04-29,1,closed,2,2022-04-29,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000017,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,17,2022-09-22,2022-09-22,2022-09-23,1,closed,2,2022-09-23,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000018,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,18,2023-03-13,2023-03-13,2023-03-14,1,closed,2,2023-03-14,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000019,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,19,2023-03-31,2023-03-31,2023-04-03,1,closed,2,2023-04-03,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000020,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,20,2023-05-09,2023-05-09,2023-05-10,1,closed,2,2023-05-10,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000021,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,21,2023-05-23,2023-05-23,2023-05-24,1,closed,2,2023-05-24,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000022,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,22,2024-06-11,2024-06-11,2024-06-12,1,closed,2,2024-06-12,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_bottom::bottom::limit_up_down_breadth_v1_20120705_20260814::000023,limit_up_down_breadth_bottom,bottom,limit_up_down_breadth_v1_20120705_20260814,23,2026-07-15,2026-07-15,2026-07-16,1,closed,2,2026-07-16,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000001,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,1,2012-09-12,2012-09-12,2012-09-13,1,closed,2,2012-09-13,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000002,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,2,2012-12-17,2012-12-17,2012-12-18,1,closed,2,2012-12-18,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000003,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,3,2013-01-21,2013-01-21,2013-01-22,1,closed,2,2013-01-22,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000004,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,4,2013-01-23,2013-01-23,2013-01-24,1,closed,2,2013-01-24,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000005,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,5,2013-05-16,2013-05-16,2013-05-17,1,closed,2,2013-05-17,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000006,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,6,2013-07-03,2013-07-03,2013-07-04,1,closed,2,2013-07-04,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000007,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,7,2013-07-17,2013-07-17,2013-07-18,1,closed,2,2013-07-18,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000008,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,8,2013-07-31,2013-07-31,2013-08-01,1,closed,2,2013-08-01,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000009,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,9,2013-09-16,2013-09-16,2013-09-17,1,closed,2,2013-09-17,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000010,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,10,2013-09-30,2013-09-30,2013-10-08,1,closed,2,2013-10-08,short_episode_exit,confirmed,2012-07-05,2026-08-14
limit_up_down_breadth_top::top::limit_up_down_breadth_v1_20120705_20260814::000011,limit_up_down_breadth_top,top,limit_up_down_breadth_v1_20120705_20260814,11,2014-02-19,2014-02-19,2014-02-20,1,closed,2,2014-02-20,short_episode_exit,confirmed,2012-07-05,2026-08-14
