date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,ma_window,ma_breadth,breadth_change_5d,change_available,above_count,ma_valid_count,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2012-01-04,ma120_breadth_reversal_bottom,bottom,0.02911646586,False,2057,1992,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.02911646586,,False,58,1992,,,,inactive,False,False,False,False,,2
2012-01-05,ma120_breadth_reversal_bottom,bottom,0.02162977867,False,2057,1988,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.02162977867,,False,43,1988,,,,inactive,False,False,False,False,,2
2012-01-06,ma120_breadth_reversal_bottom,bottom,0.01950975488,False,2057,1999,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.01950975488,,False,39,1999,,,,inactive,False,False,False,False,,2
2012-01-09,ma120_breadth_reversal_bottom,bottom,0.03311590567,False,2057,1993,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.03311590567,,False,66,1993,,,,inactive,False,False,False,False,,2
2012-01-10,ma120_breadth_reversal_bottom,bottom,0.05244755245,False,2057,2002,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.05244755245,,False,105,2002,,,,inactive,False,False,False,False,,2
2012-01-11,ma120_breadth_reversal_bottom,bottom,0.05447276362,False,2057,2001,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.05447276362,0.025356297760000004,True,109,2001,,,,inactive,False,False,False,False,,2
2012-01-12,ma120_breadth_reversal_bottom,bottom,0.05015045135,False,2057,1994,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.05015045135,0.02852067268,True,100,1994,,,,inactive,False,False,False,False,,2
2012-01-13,ma120_breadth_reversal_bottom,bottom,0.0363086233,False,2057,1983,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.0363086233,0.01679886842,True,72,1983,,,,inactive,False,False,False,False,,2
2012-01-16,ma120_breadth_reversal_bottom,bottom,0.0261404408,False,2057,1951,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.0261404408,-0.00697546487,True,51,1951,,,,inactive,False,False,False,False,,2
2012-01-17,ma120_breadth_reversal_bottom,bottom,0.04912280702,False,2057,1995,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.04912280702,-0.003324745429999998,True,98,1995,,,,inactive,False,False,False,False,,2
2012-01-18,ma120_breadth_reversal_bottom,bottom,0.03585657371,False,2057,2008,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.03585657371,-0.018616189910000004,True,72,2008,,,,inactive,False,False,False,False,,2
2012-01-19,ma120_breadth_reversal_bottom,bottom,0.04073522106,False,2057,2013,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.04073522106,-0.00941523029,True,82,2013,,,,inactive,False,False,False,False,,2
2012-01-20,ma120_breadth_reversal_bottom,bottom,0.04897551224,False,2057,2001,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.04897551224,0.012666888939999996,True,98,2001,,,,inactive,False,False,False,False,,2
2012-01-30,ma120_breadth_reversal_bottom,bottom,0.04285002491,False,2057,2007,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.04285002491,0.016709584109999998,True,86,2007,,,,inactive,False,False,False,False,,2
2012-01-31,ma120_breadth_reversal_bottom,bottom,0.04636091725,False,2057,2006,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.04636091725,-0.002761889769999998,True,93,2006,,,,inactive,False,False,False,False,,2
2012-02-01,ma120_breadth_reversal_bottom,bottom,0.03936223219,False,2057,2007,ma_period_breadth_decomposition_v1_20120104_20260814,120,0.03936223219,0.00350565848,True,79,2007,,,,inactive,False,False,False,False,,2
