episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
ma120_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000001,ma120_breadth_reversal_bottom,bottom,ma_period_breadth_decomposition_v1_20120104_20260814,1,2012-02-14,2012-02-15,2012-02-16,2,closed,2,2012-02-15,nth_active_day,confirmed,2012-01-04,2026-08-14
ma120_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000002,ma120_breadth_reversal_bottom,bottom,ma_period_breadth_decomposition_v1_20120104_20260814,2,2012-02-21,2012-02-23,2012-02-24,3,closed,2,2012-02-22,nth_active_day,confirmed,2012-01-04,2026-08-14
ma120_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000003,ma120_breadth_reversal_bottom,bottom,ma_period_breadth_decomposition_v1_20120104_20260814,3,2012-04-10,2012-04-11,2012-04-12,2,closed,2,2012-04-11,nth_active_day,confirmed,2012-01-04,2026-08-14
ma120_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000004,ma120_breadth_reversal_bottom,bottom,ma_period_breadth_decomposition_v1_20120104_20260814,4,2012-08-06,2012-08-10,2012-08-13,5,closed,2,2012-08-07,nth_active_day,confirmed,2012-01-04,2026-08-14
ma120_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000005,ma120_breadth_reversal_bottom,bottom,ma_period_breadth_decomposition_v1_20120104_20260814,5,2012-09-06,2012-09-07,2012-09-10,2,closed,2,2012-09-07,nth_active_day,confirmed,2012-01-04,2026-08-14
ma120_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000006,ma120_breadth_reversal_bottom,bottom,ma_period_breadth_decomposition_v1_20120104_20260814,6,2012-10-09,2012-10-11,2012-10-12,3,closed,2,2012-10-10,nth_active_day,confirmed,2012-01-04,2026-08-14
ma120_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000007,ma120_breadth_reversal_bottom,bottom,ma_period_breadth_decomposition_v1_20120104_20260814,7,2012-10-22,2012-10-22,2012-10-23,1,closed,2,2012-10-23,short_episode_exit,confirmed,2012-01-04,2026-08-14
ma120_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000008,ma120_breadth_reversal_bottom,bottom,ma_period_breadth_decomposition_v1_20120104_20260814,8,2012-11-02,2012-11-06,2012-11-07,3,closed,2,2012-11-05,nth_active_day,confirmed,2012-01-04,2026-08-14
ma120_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000009,ma120_breadth_reversal_bottom,bottom,ma_period_breadth_decomposition_v1_20120104_20260814,9,2012-12-05,2012-12-12,2012-12-13,6,closed,2,2012-12-06,nth_active_day,confirmed,2012-01-04,2026-08-14
ma120_breadth_reversal_bottom::bottom::ma_period_breadth_decomposition_v1_20120104_20260814::000010,ma120_breadth_reversal_bottom,bottom,ma_period_breadth_decomposition_v1_20120104_20260814,10,2012-12-14,2012-12-19,2012-12-20,4,closed,2,2012-12-17,nth_active_day,confirmed,2012-01-04,2026-08-14
