date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,breadth_composite,breadth_change_5d,change_available,above_count_ma20,valid_count_ma20,breadth_ma20,above_count_ma60,valid_count_ma60,breadth_ma60,above_count_ma120,valid_count_ma120,breadth_ma120,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2012-01-04,multi_period_ma_breadth_bottom,bottom,0.04759182959666666,False,2057,1992,multi_period_ma_breadth_v1_20120104_20260814,0.04759182959666666,,False,154,2006,0.07676969093,74,2006,0.036889332,58,1992,0.02911646586,,,,inactive,False,False,False,False,,2
2012-01-05,multi_period_ma_breadth_bottom,bottom,0.03305618268333333,False,2057,1988,multi_period_ma_breadth_v1_20120104_20260814,0.03305618268333333,,False,103,1999,0.05152576288,52,1999,0.0260130065,43,1988,0.02162977867,,,,inactive,False,False,False,False,,2
2012-01-06,multi_period_ma_breadth_bottom,bottom,0.038012372686666664,False,2057,1999,multi_period_ma_breadth_v1_20120104_20260814,0.038012372686666664,,False,137,2010,0.06815920398,53,2010,0.0263681592,39,1999,0.01950975488,,,,inactive,False,False,False,False,,2
2012-01-09,multi_period_ma_breadth_bottom,bottom,0.09437196855333334,False,2057,1993,multi_period_ma_breadth_v1_20120104_20260814,0.09437196855333334,,False,399,2004,0.1991017964,102,2004,0.05089820359,66,1993,0.03311590567,,,,inactive,False,False,False,False,,2
2012-01-10,multi_period_ma_breadth_bottom,bottom,0.20802978116666668,False,2057,2002,multi_period_ma_breadth_v1_20120104_20260814,0.20802978116666668,,False,989,2010,0.492039801,160,2010,0.07960199005,105,2002,0.05244755245,,,,inactive,False,False,False,False,,2
2012-01-11,multi_period_ma_breadth_bottom,bottom,0.22871010154666663,True,2057,2001,multi_period_ma_breadth_v1_20120104_20260814,0.22871010154666663,0.18111827194999996,True,1113,2009,0.5540069686,156,2009,0.07765057242,109,2001,0.05447276362,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,1,1,onset,True,False,False,False,,2
2012-01-12,multi_period_ma_breadth_bottom,bottom,0.23482587164333332,True,2057,1994,multi_period_ma_breadth_v1_20120104_20260814,0.23482587164333332,0.20176968896,True,1157,1999,0.5787893947,151,1999,0.07553776888,100,1994,0.05015045135,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,1,2,continuation,False,True,False,True,nth_active_day,2
2012-01-13,multi_period_ma_breadth_bottom,bottom,0.13115049347,True,2057,1983,multi_period_ma_breadth_v1_20120104_20260814,0.13115049347,0.09313812078333333,True,605,1988,0.3043259557,105,1988,0.05281690141,72,1983,0.0363086233,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,1,3,continuation,False,True,False,False,,2
2012-01-16,multi_period_ma_breadth_bottom,bottom,0.07551647959666667,False,2057,1951,multi_period_ma_breadth_v1_20120104_20260814,0.07551647959666667,-0.018855488956666666,True,319,1956,0.1630879346,73,1956,0.03732106339,51,1951,0.0261404408,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,1,,exit,False,False,True,False,,2
2012-01-17,multi_period_ma_breadth_bottom,bottom,0.21187426900666664,False,2057,1995,multi_period_ma_breadth_v1_20120104_20260814,0.21187426900666664,0.003844487839999966,True,1019,2000,0.5095,154,2000,0.077,98,1995,0.04912280702,,,,inactive,False,False,False,False,,2
2012-01-18,multi_period_ma_breadth_bottom,bottom,0.16942859460666668,False,2057,2008,multi_period_ma_breadth_v1_20120104_20260814,0.16942859460666668,-0.05928150693999995,True,821,2013,0.4078489816,130,2013,0.06458022851,72,2008,0.03585657371,,,,inactive,False,False,False,False,,2
2012-01-19,multi_period_ma_breadth_bottom,bottom,0.20386582031,False,2057,2013,multi_period_ma_breadth_v1_20120104_20260814,0.20386582031,-0.03096005133333332,True,1003,2018,0.4970267592,149,2018,0.07383548067,82,2013,0.04073522106,,,,inactive,False,False,False,False,,2
2012-01-20,multi_period_ma_breadth_bottom,bottom,0.24430788924333333,True,2057,2001,multi_period_ma_breadth_v1_20120104_20260814,0.24430788924333333,0.11315739577333334,True,1193,2006,0.5947158524,179,2006,0.08923230309,98,2001,0.04897551224,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000002,2,1,onset,True,False,False,False,,2
2012-01-30,multi_period_ma_breadth_bottom,bottom,0.23263409658,True,2057,2007,multi_period_ma_breadth_v1_20120104_20260814,0.23263409658,0.15711761698333332,True,1165,2009,0.5798904928,151,2009,0.07516177203,86,2007,0.04285002491,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000002,2,2,continuation,False,True,False,True,nth_active_day,2
2012-01-31,multi_period_ma_breadth_bottom,bottom,0.23512794948000001,False,2057,2006,multi_period_ma_breadth_v1_20120104_20260814,0.23512794948000001,0.02325368047333337,True,1158,2006,0.5772681954,164,2006,0.08175473579,93,2006,0.04636091725,multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000002,2,,exit,False,False,True,False,,2
