episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000001,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,1,2012-01-11,2012-01-13,2012-01-16,3,closed,2,2012-01-12,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000002,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,2,2012-01-20,2012-01-30,2012-01-31,2,closed,2,2012-01-30,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000003,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,3,2012-02-02,2012-02-02,2012-02-03,1,closed,2,2012-02-03,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000004,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,4,2012-04-10,2012-04-10,2012-04-11,1,closed,2,2012-04-11,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000005,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,5,2012-09-28,2012-09-28,2012-10-08,1,closed,2,2012-10-08,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000006,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,6,2012-12-05,2012-12-07,2012-12-10,3,closed,2,2012-12-06,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000007,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,7,2012-12-13,2012-12-13,2012-12-14,1,closed,2,2012-12-14,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000008,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,8,2013-07-01,2013-07-05,2013-07-08,5,closed,2,2013-07-02,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000009,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,9,2014-05-07,2014-05-08,2014-05-09,2,closed,2,2014-05-08,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000010,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,10,2015-07-13,2015-07-15,2015-07-16,3,closed,2,2015-07-14,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000011,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,11,2015-07-17,2015-07-17,2015-07-20,1,closed,2,2015-07-20,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000012,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,12,2015-08-04,2015-08-04,2015-08-05,1,closed,2,2015-08-05,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000013,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,13,2015-09-21,2015-09-25,2015-09-28,5,closed,2,2015-09-22,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000014,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,14,2016-02-03,2016-02-15,2016-02-16,4,closed,2,2016-02-04,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000015,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,15,2016-03-03,2016-03-03,2016-03-04,1,closed,2,2016-03-04,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000016,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,16,2016-03-07,2016-03-08,2016-03-09,2,closed,2,2016-03-08,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000017,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,17,2016-05-25,2016-05-27,2016-05-30,3,closed,2,2016-05-26,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000018,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,18,2016-12-19,2016-12-20,2016-12-21,2,closed,2,2016-12-20,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000019,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,19,2017-01-23,2017-01-26,2017-02-03,4,closed,2,2017-01-24,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000020,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,20,2017-05-02,2017-05-02,2017-05-03,1,closed,2,2017-05-03,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000021,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,21,2017-05-16,2017-05-19,2017-05-22,4,closed,2,2017-05-17,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000022,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,22,2017-06-12,2017-06-12,2017-06-13,1,closed,2,2017-06-13,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000023,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,23,2017-12-11,2017-12-15,2017-12-18,5,closed,2,2017-12-12,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000024,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,24,2017-12-19,2017-12-19,2017-12-20,1,closed,2,2017-12-20,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000025,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,25,2018-02-23,2018-02-28,2018-03-01,4,closed,2,2018-02-26,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000026,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,26,2018-05-02,2018-05-02,2018-05-03,1,closed,2,2018-05-03,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000027,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,27,2018-06-06,2018-06-06,2018-06-07,1,closed,2,2018-06-07,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000028,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,28,2018-07-10,2018-07-10,2018-07-11,1,closed,2,2018-07-11,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000029,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,29,2018-07-12,2018-07-13,2018-07-16,2,closed,2,2018-07-13,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000030,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,30,2018-08-09,2018-08-14,2018-08-15,4,closed,2,2018-08-10,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000031,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,31,2018-08-24,2018-08-29,2018-08-30,4,closed,2,2018-08-27,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000032,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,32,2018-09-19,2018-09-20,2018-09-21,2,closed,2,2018-09-20,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000033,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,33,2018-09-28,2018-09-28,2018-10-08,1,closed,2,2018-10-08,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000034,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,34,2018-10-22,2018-10-26,2018-10-29,5,closed,2,2018-10-23,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000035,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,35,2018-10-31,2018-11-01,2018-11-02,2,closed,2,2018-11-01,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000036,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,36,2019-05-13,2019-05-13,2019-05-14,1,closed,2,2019-05-14,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000037,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,37,2019-06-14,2019-06-17,2019-06-18,2,closed,2,2019-06-17,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000038,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,38,2019-08-16,2019-08-16,2019-08-19,1,closed,2,2019-08-19,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000039,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,39,2020-12-31,2020-12-31,2021-01-04,1,closed,2,2021-01-04,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000040,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,40,2021-01-18,2021-01-18,2021-01-19,1,closed,2,2021-01-19,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000041,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,41,2021-02-18,2021-02-18,2021-02-19,1,closed,2,2021-02-19,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000042,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,42,2022-03-21,2022-03-22,2022-03-23,2,closed,2,2022-03-22,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000043,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,43,2022-03-24,2022-03-24,2022-03-25,1,closed,2,2022-03-25,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000044,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,44,2022-05-05,2022-05-16,2022-05-17,8,closed,2,2022-05-06,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000045,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,45,2022-10-13,2022-10-13,2022-10-14,1,closed,2,2022-10-14,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000046,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,46,2023-10-26,2023-10-26,2023-10-27,1,closed,2,2023-10-27,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000047,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,47,2024-01-15,2024-01-15,2024-01-16,1,closed,2,2024-01-16,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000048,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,48,2024-01-29,2024-01-29,2024-01-30,1,closed,2,2024-01-30,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000049,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,49,2024-02-08,2024-02-22,2024-02-23,5,closed,2,2024-02-19,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000050,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,50,2024-02-28,2024-02-28,2024-02-29,1,closed,2,2024-02-29,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000051,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,51,2024-04-23,2024-04-24,2024-04-25,2,closed,2,2024-04-24,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000052,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,52,2024-06-14,2024-06-18,2024-06-19,3,closed,2,2024-06-17,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000053,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,53,2024-07-01,2024-07-02,2024-07-03,2,closed,2,2024-07-02,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000054,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,54,2024-07-11,2024-07-16,2024-07-17,4,closed,2,2024-07-12,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000055,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,55,2024-07-30,2024-07-30,2024-07-31,1,closed,2,2024-07-31,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000056,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,56,2024-08-29,2024-08-29,2024-08-30,1,closed,2,2024-08-30,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000057,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,57,2024-09-02,2024-09-04,2024-09-05,3,closed,2,2024-09-03,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000058,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,58,2025-04-14,2025-04-17,2025-04-18,4,closed,2,2025-04-15,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000059,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,59,2026-03-30,2026-03-30,2026-03-31,1,closed,2,2026-03-31,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000060,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,60,2026-06-15,2026-06-18,2026-06-22,4,closed,2,2026-06-16,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000061,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,61,2026-07-06,2026-07-06,2026-07-07,1,closed,2,2026-07-07,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000062,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,62,2026-07-29,2026-07-29,2026-07-30,1,closed,2,2026-07-30,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_bottom::bottom::multi_period_ma_breadth_v1_20120104_20260814::000063,multi_period_ma_breadth_bottom,bottom,multi_period_ma_breadth_v1_20120104_20260814,63,2026-07-31,2026-07-31,2026-08-03,1,closed,2,2026-08-03,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000001,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,1,2013-01-22,2013-01-23,2013-01-24,2,closed,2,2013-01-23,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000002,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,2,2013-01-28,2013-01-28,2013-01-29,1,closed,2,2013-01-29,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000003,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,3,2013-02-22,2013-02-27,2013-02-28,4,closed,2,2013-02-25,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000004,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,4,2013-03-08,2013-03-08,2013-03-11,1,closed,2,2013-03-11,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000005,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,5,2013-09-25,2013-09-25,2013-09-26,1,closed,2,2013-09-26,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000006,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,6,2013-10-22,2013-10-22,2013-10-23,1,closed,2,2013-10-23,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000007,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,7,2014-02-21,2014-02-21,2014-02-24,1,closed,2,2014-02-24,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000008,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,8,2014-07-22,2014-07-22,2014-07-23,1,closed,2,2014-07-23,short_episode_exit,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000009,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,9,2014-08-26,2014-08-29,2014-09-01,4,closed,2,2014-08-27,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000010,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,10,2014-09-16,2014-09-22,2014-09-23,5,closed,2,2014-09-17,nth_active_day,confirmed,2012-01-04,2026-08-14
multi_period_ma_breadth_top::top::multi_period_ma_breadth_v1_20120104_20260814::000011,multi_period_ma_breadth_top,top,multi_period_ma_breadth_v1_20120104_20260814,11,2014-10-15,2014-10-22,2014-10-23,6,closed,2,2014-10-16,nth_active_day,confirmed,2012-01-04,2026-08-14
