date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,new_high_low_net_composite,new_high_low_net_change_5d,change_available,new_high_count_60,new_low_count_60,new_high_low_net_count_60,new_high_ratio_60,new_low_ratio_60,new_high_low_net_ratio_60,valid_count_high_low_60,new_high_count_120,new_low_count_120,new_high_low_net_count_120,new_high_ratio_120,new_low_ratio_120,new_high_low_net_ratio_120,valid_count_high_low_120,new_high_count_250,new_low_count_250,new_high_low_net_count_250,new_high_ratio_250,new_low_ratio_250,new_high_low_net_ratio_250,valid_count_high_low_250,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2012-01-04,new_high_low_breadth_bottom,bottom,-0.14377023593333335,False,2057,1809,new_high_low_breadth_v1_20120104_20260814,-0.14377023593333335,,False,9,311,-302,0.004486540379,0.1550348953,-0.1505483549,2006,1,296,-295,0.0005020080321,0.1485943775,-0.1480923695,1992,0,240,-240,0.0,0.1326699834,-0.1326699834,1809,,,,inactive,False,False,False,False,,2
2012-01-05,new_high_low_breadth_bottom,bottom,-0.6181983914333333,False,2057,1808,new_high_low_breadth_v1_20120104_20260814,-0.6181983914333333,,False,1,1272,-1271,0.0005002501251,0.6363181591,-0.635817909,1999,0,1253,-1253,0.0,0.6302816901,-0.6302816901,1988,0,1064,-1064,0.0,0.5884955752,-0.5884955752,1808,,,,inactive,False,False,False,False,,2
2012-01-06,new_high_low_breadth_bottom,bottom,-0.6786351968333334,False,2057,1818,new_high_low_breadth_v1_20120104_20260814,-0.6786351968333334,,False,1,1409,-1408,0.0004975124378,0.7009950249,-0.7004975124,2010,0,1372,-1372,0.0,0.6863431716,-0.6863431716,1999,0,1180,-1180,0.0,0.6490649065,-0.6490649065,1818,,,,inactive,False,False,False,False,,2
2012-01-09,new_high_low_breadth_bottom,bottom,-0.04778186579333333,False,2057,1813,new_high_low_breadth_v1_20120104_20260814,-0.04778186579333333,,False,11,113,-102,0.005489021956,0.05638722555,-0.05089820359,2004,2,106,-104,0.001003512293,0.05318615153,-0.05218263924,1993,0,73,-73,0.0,0.04026475455,-0.04026475455,1813,,,,inactive,False,False,False,False,,2
2012-01-10,new_high_low_breadth_bottom,bottom,0.0019738013798333335,False,2057,1824,new_high_low_breadth_v1_20120104_20260814,0.0019738013798333335,,False,16,4,12,0.007960199005,0.001990049751,0.005970149254,2010,4,3,1,0.001998001998,0.001498501499,0.0004995004995,2002,1,2,-1,0.000548245614,0.001096491228,-0.000548245614,1824,,,,inactive,False,False,False,False,,2
2012-01-11,new_high_low_breadth_bottom,bottom,0.0016605269623000002,False,2057,1824,new_high_low_breadth_v1_20120104_20260814,0.0016605269623000002,0.14543076289563336,True,9,1,8,0.004479840717,0.0004977600796,0.003982080637,2009,3,1,2,0.001499250375,0.0004997501249,0.0009995002499,2001,1,1,0,0.000548245614,0.000548245614,0.0,1824,,,,inactive,False,False,False,False,,2
2012-01-12,new_high_low_breadth_bottom,bottom,-0.0009196161193333333,False,2057,1814,new_high_low_breadth_v1_20120104_20260814,-0.0009196161193333333,0.617278775314,True,9,7,2,0.004502251126,0.003501750875,0.00100050025,1999,4,6,-2,0.002006018054,0.003009027081,-0.001003009027,1994,0,5,-5,0.0,0.002756339581,-0.002756339581,1814,,,,inactive,False,False,False,False,,2
2012-01-13,new_high_low_breadth_bottom,bottom,-0.03195935042333333,False,2057,1806,new_high_low_breadth_v1_20120104_20260814,-0.03195935042333333,0.6466758464100001,True,5,79,-74,0.002515090543,0.03973843058,-0.03722334004,1988,1,69,-68,0.0005042864347,0.03479576399,-0.03429147756,1983,0,44,-44,0.0,0.02436323367,-0.02436323367,1806,,,,inactive,False,False,False,False,,2
2012-01-16,new_high_low_breadth_bottom,bottom,-0.12164852943333333,False,2057,1782,new_high_low_breadth_v1_20120104_20260814,-0.12164852943333333,-0.07386666364,True,1,268,-267,0.0005112474438,0.1370143149,-0.1365030675,1956,0,253,-253,0.0,0.1296770887,-0.1296770887,1951,0,176,-176,0.0,0.0987654321,-0.0987654321,1782,,,,inactive,False,False,False,False,,2
2012-01-17,new_high_low_breadth_bottom,bottom,-0.13034439820000002,False,2057,1821,new_high_low_breadth_v1_20120104_20260814,-0.13034439820000002,-0.13231819957983335,True,14,299,-285,0.007,0.1495,-0.1425,2000,6,286,-280,0.003007518797,0.143358396,-0.1403508772,1995,1,198,-197,0.0005491488193,0.1087314662,-0.1081823174,1821,,,,inactive,False,False,False,False,,2
