episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000001,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,1,2012-07-06,2012-07-06,2012-07-09,1,closed,2,2012-07-09,short_episode_exit,confirmed,2012-01-04,2026-08-14
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000002,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,2,2012-07-12,2012-07-12,2012-07-13,1,closed,2,2012-07-13,short_episode_exit,confirmed,2012-01-04,2026-08-14
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000003,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,3,2012-07-23,2012-07-24,2012-07-25,2,closed,2,2012-07-24,nth_active_day,confirmed,2012-01-04,2026-08-14
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000004,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,4,2012-09-04,2012-09-04,2012-09-05,1,closed,2,2012-09-05,short_episode_exit,confirmed,2012-01-04,2026-08-14
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000005,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,5,2012-11-21,2012-11-21,2012-11-22,1,closed,2,2012-11-22,short_episode_exit,confirmed,2012-01-04,2026-08-14
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000006,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,6,2012-11-26,2012-11-26,2012-11-27,1,closed,2,2012-11-27,short_episode_exit,confirmed,2012-01-04,2026-08-14
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000007,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,7,2013-04-15,2013-04-15,2013-04-16,1,closed,2,2013-04-16,short_episode_exit,confirmed,2012-01-04,2026-08-14
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000008,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,8,2014-01-14,2014-01-14,2014-01-15,1,closed,2,2014-01-15,short_episode_exit,confirmed,2012-01-04,2026-08-14
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000009,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,9,2014-01-20,2014-01-20,2014-01-21,1,closed,2,2014-01-21,short_episode_exit,confirmed,2012-01-04,2026-08-14
new_high_low_breadth_bottom::bottom::new_high_low_breadth_v1_20120104_20260814::000010,new_high_low_breadth_bottom,bottom,new_high_low_breadth_v1_20120104_20260814,10,2015-09-01,2015-09-01,2015-09-02,1,closed,2,2015-09-02,short_episode_exit,confirmed,2012-01-04,2026-08-14
