date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,industry_code,industry_name,industry_rank_ma20,industry_breadth_ma20,industry_above_count_ma20,industry_valid_count_ma20,ranked_industry_count_ma20,top1_tie_count_ma20,industry_start_date,industry_end_date,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2017-01-03,single_industry_top1_801010,top,0.5128205128,False,82,78,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,13,0.5128205128,40,78,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-04,single_industry_top1_801010,top,0.6455696203,False,82,79,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,18,0.6455696203,51,79,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-05,single_industry_top1_801010,top,0.6329113924,False,82,79,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,21,0.6329113924,50,79,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-06,single_industry_top1_801010,top,0.5696202532,False,82,79,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,21,0.5696202532,45,79,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-09,single_industry_top1_801010,top,0.5844155844,False,82,77,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,24,0.5844155844,45,77,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-10,single_industry_top1_801010,top,0.5657894737,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,23,0.5657894737,43,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-11,single_industry_top1_801010,top,0.3552631579,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,25,0.3552631579,27,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-12,single_industry_top1_801010,top,0.2894736842,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,24,0.2894736842,22,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-13,single_industry_top1_801010,top,0.1184210526,False,82,76,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,25,0.1184210526,9,76,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
2017-01-16,single_industry_top1_801010,top,0.04,False,82,75,single_industry_top1_v1_20170103_20260814,801010,农林牧渔I,28,0.04,3,75,28,1,2017-01-03,2026-08-14,,,,inactive,False,False,False,False,,2
