episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000001,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,1,2018-03-23,2018-03-23,2018-03-26,1,closed,2,2018-03-26,short_episode_exit,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000002,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,2,2019-02-25,2019-02-26,2019-02-27,2,closed,2,2019-02-26,nth_active_day,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000003,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,3,2019-03-04,2019-03-05,2019-03-06,2,closed,2,2019-03-05,nth_active_day,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000004,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,4,2019-03-11,2019-03-12,2019-03-13,2,closed,2,2019-03-12,nth_active_day,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000005,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,5,2019-04-25,2019-04-26,2019-04-29,2,closed,2,2019-04-26,nth_active_day,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000006,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,6,2019-05-06,2019-05-06,2019-05-07,1,closed,2,2019-05-07,short_episode_exit,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000007,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,7,2019-05-09,2019-05-10,2019-05-13,2,closed,2,2019-05-10,nth_active_day,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000008,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,8,2019-08-05,2019-08-05,2019-08-06,1,closed,2,2019-08-06,short_episode_exit,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000009,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,9,2019-10-29,2019-10-29,2019-10-30,1,closed,2,2019-10-30,short_episode_exit,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000010,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,10,2019-10-31,2019-10-31,2019-11-01,1,closed,2,2019-11-01,short_episode_exit,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000011,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,11,2020-03-26,2020-03-26,2020-03-27,1,closed,2,2020-03-27,short_episode_exit,confirmed,2017-01-03,2026-08-14
single_industry_top1_801010::top::single_industry_top1_v1_20170103_20260814::000012,single_industry_top1_801010,top,single_industry_top1_v1_20170103_20260814,12,2020-03-30,2020-04-08,2020-04-09,7,closed,2,2020-03-31,nth_active_day,confirmed,2017-01-03,2026-08-14
