episode_id,signal_id,direction,version,episode_number,onset_date,last_active_date,exit_date,active_days,status,capped_confirmation_n,capped_confirmation_date,capped_confirmation_reason,confirmation_status,series_start_date,series_end_date
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000001,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,1,2012-12-21,2012-12-21,2012-12-24,1,closed,2,2012-12-24,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000002,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,2,2013-01-23,2013-01-23,2013-01-24,1,closed,2,2013-01-24,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000003,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,3,2013-01-28,2013-01-28,2013-01-29,1,closed,2,2013-01-29,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000004,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,4,2013-01-31,2013-01-31,2013-02-01,1,closed,2,2013-02-01,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000005,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,5,2013-02-05,2013-02-05,2013-02-06,1,closed,2,2013-02-06,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000006,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,6,2013-05-29,2013-05-29,2013-05-30,1,closed,2,2013-05-30,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000007,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,7,2013-06-03,2013-06-04,2013-06-05,2,closed,2,2013-06-04,nth_active_day,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000008,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,8,2013-07-18,2013-07-18,2013-07-19,1,closed,2,2013-07-19,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000009,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,9,2013-08-13,2013-08-13,2013-08-14,1,closed,2,2013-08-14,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000010,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,10,2013-09-04,2013-09-04,2013-09-05,1,closed,2,2013-09-05,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000011,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,11,2013-09-06,2013-09-06,2013-09-09,1,closed,2,2013-09-09,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000012,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,12,2013-10-17,2013-10-17,2013-10-18,1,closed,2,2013-10-18,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000013,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,13,2013-10-29,2013-10-29,2013-10-30,1,closed,2,2013-10-30,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000014,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,14,2014-08-25,2014-08-25,2014-08-26,1,closed,2,2014-08-26,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000015,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,15,2014-09-12,2014-09-12,2014-09-15,1,closed,2,2014-09-15,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000016,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,16,2014-09-17,2014-09-17,2014-09-18,1,closed,2,2014-09-18,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000017,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,17,2014-12-12,2014-12-16,2014-12-17,3,closed,2,2014-12-15,nth_active_day,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000018,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,18,2014-12-18,2014-12-18,2014-12-19,1,closed,2,2014-12-19,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000019,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,19,2015-01-28,2015-01-28,2015-01-29,1,closed,2,2015-01-29,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000020,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,20,2015-03-09,2015-03-10,2015-03-11,2,closed,2,2015-03-10,nth_active_day,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000021,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,21,2015-04-16,2015-04-16,2015-04-17,1,closed,2,2015-04-17,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000022,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,22,2015-04-29,2015-05-06,2015-05-07,5,closed,2,2015-04-30,nth_active_day,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000023,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,23,2015-06-09,2015-06-10,2015-06-11,2,closed,2,2015-06-10,nth_active_day,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000024,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,24,2015-07-13,2015-07-13,2015-07-14,1,closed,2,2015-07-14,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000025,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,25,2015-07-29,2015-07-30,2015-07-31,2,closed,2,2015-07-30,nth_active_day,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000026,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,26,2015-11-12,2015-11-12,2015-11-13,1,closed,2,2015-11-13,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000027,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,27,2018-03-30,2018-03-30,2018-04-02,1,closed,2,2018-04-02,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000028,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,28,2018-04-03,2018-04-03,2018-04-04,1,closed,2,2018-04-04,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000029,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,29,2018-11-23,2018-11-23,2018-11-26,1,closed,2,2018-11-26,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000030,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,30,2019-04-12,2019-04-12,2019-04-15,1,closed,2,2019-04-15,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000031,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,31,2019-04-24,2019-04-24,2019-04-25,1,closed,2,2019-04-25,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000032,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,32,2020-02-11,2020-02-11,2020-02-12,1,closed,2,2020-02-12,short_episode_exit,confirmed,2012-07-05,2026-08-14
all_a_turnover_heat_top::top::turnover_heat_v1_20120705_20260814::000033,all_a_turnover_heat_top,top,turnover_heat_v1_20120705_20260814,33,2020-02-14,2020-02-14,2020-02-17,1,closed,2,2020-02-17,short_episode_exit,confirmed,2012-07-05,2026-08-14
