above_count_ma120,above_count_ma20,above_count_ma60,base_valid_count,breadth_ma120,breadth_ma20,breadth_ma60,date,industry_code,industry_name,universe_count,valid_count_ma120,valid_count_ma20,valid_count_ma60,rank_eligible_ma20,rank_ma20,is_top1_ma20,target_id,is_target_industry
1,2,1,69,0.01470588235,0.02898550725,0.01449275362,2012-01-04,801010,农林牧渔I,70,68,69,69,True,20,False,,False
0,3,0,47,0,0.06382978723,0,2012-01-04,801020,采掘I,50,47,47,47,True,13,False,,False
1,7,1,199,0.005076142132,0.0351758794,0.005025125628,2012-01-04,801030,化工I,204,197,199,199,True,18,False,,False
0,4,0,34,0,0.1176470588,0,2012-01-04,801040,钢铁I,35,34,34,34,True,6,False,steel,True
1,3,1,70,0.01449275362,0.04285714286,0.01428571429,2012-01-04,801050,有色金属I,70,69,70,70,True,17,False,nonferrous,True
1,6,2,95,0.01052631579,0.06315789474,0.02105263158,2012-01-04,801060,建筑建材I,97,95,95,95,True,14,False,,False
2,15,10,273,0.007352941176,0.05494505495,0.03663003663,2012-01-04,801070,机械设备I,275,272,273,273,True,15,False,,False
4,10,3,103,0.03921568627,0.09708737864,0.02912621359,2012-01-04,801080,电子I,104,102,103,103,True,9,False,,False
1,15,3,106,0.009523809524,0.141509434,0.02830188679,2012-01-04,801090,交运设备I,107,105,106,106,True,5,False,,False
4,8,5,72,0.05555555556,0.1111111111,0.06944444444,2012-01-04,801100,信息设备I,76,72,72,72,True,7,False,,False
0,6,1,34,0,0.1764705882,0.02941176471,2012-01-04,801110,家用电器I,35,33,34,34,True,4,False,,False
0,1,0,49,0,0.02040816327,0,2012-01-04,801120,食品饮料I,51,49,49,49,True,22,False,,False
1,4,4,61,0.01639344262,0.06557377049,0.06557377049,2012-01-04,801130,纺织服装I,65,61,61,61,True,12,False,,False
1,3,2,68,0.01492537313,0.04411764706,0.02941176471,2012-01-04,801140,轻工制造I,72,67,68,68,True,16,False,,False
3,5,2,147,0.02083333333,0.03401360544,0.01360544218,2012-01-04,801150,医药生物I,155,144,147,147,True,19,False,,False
9,15,9,78,0.1153846154,0.1923076923,0.1153846154,2012-01-04,801160,公用事业I,81,78,78,78,True,3,False,,False
1,2,2,77,0.01298701299,0.02597402597,0.02597402597,2012-01-04,801170,交通运输I,80,77,77,77,True,21,False,,False
3,12,10,133,0.02255639098,0.09022556391,0.07518796992,2012-01-04,801180,房地产I,135,133,133,133,True,10,False,,False
5,10,3,43,0.1162790698,0.2325581395,0.06976744186,2012-01-04,801190,金融服务I,44,43,43,43,True,1,True,,False
3,7,3,86,0.03488372093,0.08139534884,0.03488372093,2012-01-04,801200,商业贸易I,88,86,86,86,True,11,False,,False
2,5,1,25,0.08,0.2,0.04,2012-01-04,801210,休闲服务I,25,25,25,25,True,2,False,,False
15,11,11,107,0.1428571429,0.1028037383,0.1028037383,2012-01-04,801220,信息服务I,107,105,107,107,True,8,False,,False
0,0,0,30,0,0,0,2012-01-04,801230,综合I,31,30,30,30,True,23,False,,False
1,0,1,68,0.01492537313,0,0.01470588235,2012-01-05,801010,农林牧渔I,70,67,68,68,True,21,False,,False
0,3,0,47,0,0.06382978723,0,2012-01-05,801020,采掘I,50,47,47,47,True,6,False,,False
1,4,1,198,0.005076142132,0.0202020202,0.005050505051,2012-01-05,801030,化工I,204,197,198,198,True,18,False,,False
0,4,0,35,0,0.1142857143,0,2012-01-05,801040,钢铁I,35,35,35,35,True,4,False,steel,True
1,2,1,70,0.01449275362,0.02857142857,0.01428571429,2012-01-05,801050,有色金属I,70,69,70,70,True,17,False,nonferrous,True
1,5,1,94,0.01063829787,0.05319148936,0.01063829787,2012-01-05,801060,建筑建材I,97,94,94,94,True,10,False,,False
2,9,4,269,0.007434944238,0.03345724907,0.01486988848,2012-01-05,801070,机械设备I,275,269,269,269,True,14,False,,False
2,3,1,101,0.0198019802,0.0297029703,0.009900990099,2012-01-05,801080,电子I,104,101,101,101,True,16,False,,False
1,12,2,106,0.009523809524,0.1132075472,0.01886792453,2012-01-05,801090,交运设备I,107,105,106,106,True,5,False,,False
2,1,2,73,0.02739726027,0.01369863014,0.02739726027,2012-01-05,801100,信息设备I,76,73,73,73,True,20,False,,False
0,5,0,34,0,0.1470588235,0,2012-01-05,801110,家用电器I,35,33,34,34,True,2,False,,False
0,0,0,50,0,0,0,2012-01-05,801120,食品饮料I,51,50,50,50,True,21,False,,False
2,4,4,64,0.03125,0.0625,0.0625,2012-01-05,801130,纺织服装I,65,64,64,64,True,7,False,,False
0,2,0,67,0,0.02985074627,0,2012-01-05,801140,轻工制造I,72,66,67,67,True,15,False,,False
2,3,2,149,0.01369863014,0.02013422819,0.01342281879,2012-01-05,801150,医药生物I,155,146,149,149,True,19,False,,False
6,9,7,78,0.07692307692,0.1153846154,0.08974358974,2012-01-05,801160,公用事业I,81,78,78,78,True,3,False,,False
2,4,3,76,0.02631578947,0.05263157895,0.03947368421,2012-01-05,801170,交通运输I,80,76,76,76,True,11,False,,False
2,8,8,131,0.01526717557,0.06106870229,0.06106870229,2012-01-05,801180,房地产I,135,131,131,131,True,8,False,,False
6,14,8,43,0.1395348837,0.3255813953,0.1860465116,2012-01-05,801190,金融服务I,44,43,43,43,True,1,True,,False
3,5,3,86,0.03488372093,0.05813953488,0.03488372093,2012-01-05,801200,商业贸易I,88,86,86,86,True,9,False,,False
0,1,0,25,0,0.04,0,2012-01-05,801210,休闲服务I,25,25,25,25,True,13,False,,False
9,5,4,105,0.08737864078,0.04761904762,0.0380952381,2012-01-05,801220,信息服务I,107,103,105,105,True,12,False,,False
0,0,0,30,0,0,0,2012-01-05,801230,综合I,31,30,30,30,True,21,False,,False
1,1,1,69,0.01470588235,0.01449275362,0.01449275362,2012-01-06,801010,农林牧渔I,70,68,69,69,True,21,False,,False
1,3,1,46,0.02173913043,0.0652173913,0.02173913043,2012-01-06,801020,采掘I,50,46,46,46,True,13,False,,False
1,7,1,199,0.005050505051,0.0351758794,0.005025125628,2012-01-06,801030,化工I,204,198,199,199,True,16,False,,False
0,6,0,35,0,0.1714285714,0,2012-01-06,801040,钢铁I,35,35,35,35,True,3,False,steel,True
1,6,1,70,0.01449275362,0.08571428571,0.01428571429,2012-01-06,801050,有色金属I,70,69,70,70,True,6,False,nonferrous,True
0,7,1,96,0,0.07291666667,0.01041666667,2012-01-06,801060,建筑建材I,97,96,96,96,True,12,False,,False
1,9,3,272,0.003676470588,0.03308823529,0.01102941176,2012-01-06,801070,机械设备I,275,272,272,272,True,19,False,,False
2,3,2,103,0.01941747573,0.02912621359,0.01941747573,2012-01-06,801080,电子I,104,103,103,103,True,20,False,,False
1,11,2,107,0.009433962264,0.1028037383,0.01869158879,2012-01-06,801090,交运设备I,107,106,107,107,True,5,False,,False
