id,code,name,pub_date,start_date,end_date,traced_index_name,traced_index_code
1,562390.XSHG,中药,2022-07-06,2022-07-11,,中证中药(930641),930641.CSI
2,561510.XSHG,中医药,2022-07-07,2022-07-11,,中证中药(930641),930641.CSI
3,159647.XSHE,中药ETF鹏华,2022-07-07,2022-07-11,,中证中药(930641),930641.CSI
4,561190.XSHG,双碳ETF,2022-06-30,2022-07-04,,SEEE碳中和(931755),931755.CSI
5,560060.XSHG,碳中和基,2022-06-30,2022-07-04,,SEEE碳中和(931755),931755.CSI
6,560550.XSHG,碳中和,2022-06-29,2022-07-04,,SEEE碳中和(931755),931755.CSI
7,562990.XSHG,碳中和E,2022-06-29,2022-07-04,,SEEE碳中和(931755),931755.CSI
8,159642.XSHE,碳中和ETF大成,2022-06-30,2022-07-04,,SEEE碳中和(931755),931755.CSI
9,159639.XSHE,碳中和ETF南方,2022-06-30,2022-07-04,,SEEE碳中和(931755),931755.CSI
10,159641.XSHE,碳中和ETF招商,2022-06-30,2022-07-04,,SEEE碳中和(931755),931755.CSI
11,562000.XSHG,中证A100ETF基金,2022-06-16,2022-07-01,,中证A100(000903),000903.XSHG
12,159620.XSHE,中证500成长ETF华夏,2022-06-20,2022-06-23,,500成长创新(931590),931590.CSI
13,159628.XSHE,国证2000ETF万家,2022-05-16,2022-06-14,,国证2000(399303),399303.XSHE
14,561160.XSHG,锂电池,2022-06-09,2022-06-14,,CS电池(931719),931719.CSI
15,561700.XSHG,电力基金,2022-06-07,2022-06-13,,电力指数(H30199),H30199.CSI
16,513120.XSHG,HK创新药,2022-06-07,2022-06-13,,港股创新药CNY(931787CNY00),
17,159635.XSHE,基建ETF华夏,2022-05-31,2022-06-06,,中证基建(930608),930608.CSI
18,513220.XSHG,互联网30,2022-05-20,2022-05-27,,全球中国互联网(930796),930796.CSI
19,159621.XSHE,ESGETF国泰,2022-05-19,2022-05-24,,MSCI中国A股(人民币)ESG通用指数(721638),
20,159617.XSHE,中证500价值ETF华夏,2022-05-16,2022-05-23,,500价值稳健(931587),931587.CSI
21,159638.XSHE,高端装备ETF嘉实,2022-06-30,2022-07-18,,高装细分50(931521),931521.CSI
22,562530.XSHG,1000价值,2022-07-13,2022-07-18,,1000价值稳健(931588),931588.CSI
23,159640.XSHE,碳中和龙头ETF工银,2022-06-30,2022-07-04,,SEEE碳中和(931755),931755.CSI
24,588260.XSHG,科创技术,2022-04-19,2022-05-09,,科创信息(000682),000682.XSHG
