archive,batch_number,archive_member,security,display_name,fund_type,listing_date,security_end_date,rows,bytes,sha256
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511600_XSHG_1m_20160927_20260731.csv,511600.XSHG,货币ETF,mmf,2016-09-27,2200-01-01,573360,42650930,d946a038c2f8acec9b0222b0d97db5eb82c0966aef8554a567fd229aab93d89c
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511620_XSHG_1m_20170907_20260731.csv,511620.XSHG,货币基金,mmf,2017-09-07,2200-01-01,517920,38260571,8d796b4406864cbd71c1a7d0d1ef5019259355a491c894114dee91eb3db883e1
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511650_XSHG_1m_20170116_20260731.csv,511650.XSHG,华夏快线,mmf,2017-01-16,2200-01-01,555840,41068985,ecc6e74eeebcea7f77141a531b53712b0d9c0b1141f4a729018c76fbb4d69779
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511660_XSHG_1m_20160921_20260731.csv,511660.XSHG,建信添益,mmf,2016-09-21,2200-01-01,574320,47209108,56d594120db1acc93814b962554f2410452e00fd20942f11aa546557d477bc51
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511670_XSHG_1m_20170828_20260731.csv,511670.XSHG,华泰天金,mmf,2017-08-28,2200-01-01,519840,38149836,a819d4edbb74d1217904f1d8375f706ce064e11a3b8cb5397c51bc50f81a61e7
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511680_XSHG_1m_20160927_20181029.csv,511680.XSHG,安信货币,mmf,2016-09-27,2018-10-29,121680,9028936,75a6175afd40e7a55e8bb0e0c2d350cc64aef1621f6e379cfbfda707ff2a979e
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511690_XSHG_1m_20161020_20260731.csv,511690.XSHG,交易货币ETF大成,mmf,2016-10-20,2200-01-01,570480,44644117,d3f7bb3dba6c321da715b7f5be8f112d6680b71bee54e3138d53d71cfe7817a1
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511700_XSHG_1m_20161017_20260731.csv,511700.XSHG,场内货币,mmf,2016-10-17,2200-01-01,571200,44196043,819850d714e010c4513e980e5f4c6022eefd8e2234e2e5cabb69693c743afc06
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511760_XSHG_1m_20161215_20180611.csv,511760.XSHG,德邦货币,mmf,2016-12-15,2018-06-11,86880,6224656,0b95d04bbf99fb3b5f2bd3499d752dcb04dcbe68446eca947c7f53b8f514336a
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511770_XSHG_1m_20170410_20260731.csv,511770.XSHG,金鹰增益,mmf,2017-04-10,2200-01-01,543120,39553728,88dd5bd1de50cd938ae151002e6721700378db56cd9ad25d0f3193485a2b14c4
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511800_XSHG_1m_20141208_20260731.csv,511800.XSHG,易货币,mmf,2014-12-08,2200-01-01,679440,51986242,898e1a7cd0b4b552f96b347ba12dd5cdc7bdf4a57f7953da837812d93f8c0e1d
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511810_XSHG_1m_20150105_20260731.csv,511810.XSHG,理财金H,mmf,2015-01-05,2200-01-01,675120,53753577,3bb0a41af57cc587f8f25c54427035244a5cc936404ef33419e9e5c4b041d20f
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511820_XSHG_1m_20160222_20260731.csv,511820.XSHG,鹏华添利,mmf,2016-02-22,2200-01-01,609360,45039986,b8188d742f0a52e811ff73cd30a3d8ed774c59a6a0c071584421c68dccc2df66
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511830_XSHG_1m_20150803_20260731.csv,511830.XSHG,华泰货币,mmf,2015-08-03,2200-01-01,641040,47439739,607846a3752d71e2ee88c6da477e30e4e60b8ec4c543a459369fd58a973a68e3
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511850_XSHG_1m_20160718_20260731.csv,511850.XSHG,财富宝E,mmf,2016-07-18,2200-01-01,585120,46229648,d603c60c8b0880d33679e59c5a802eec97e45c38544687623f339c8678494641
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511860_XSHG_1m_20141209_20260731.csv,511860.XSHG,博时货币,mmf,2014-12-09,2200-01-01,679200,50736184,696284419c22814a980ca9aa038c37e669fceb251f62b32957e9c96d9f16b610
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511880_XSHG_1m_20130418_20260731.csv,511880.XSHG,银华日利,mmf,2013-04-18,2200-01-01,774960,67207877,71be9d1f352a59ee24c42e85b4d4ad155365e054ed3935310e5916e96b39555d
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511890_XSHG_1m_20150803_20180411.csv,511890.XSHG,景顺货币,mmf,2015-08-03,2018-04-11,157200,11515790,91fdad753d9060b14ce71695f7af623748b2f7938f43b7dc74386b838cf61d71
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511900_XSHG_1m_20151209_20260731.csv,511900.XSHG,富国货币,mmf,2015-12-09,2200-01-01,620640,47556864,1d6caac98c706fb764993d7c5d874eb64660570be10d8b2130f07437be433fff
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511910_XSHG_1m_20160704_20260731.csv,511910.XSHG,融通货币,mmf,2016-07-04,2200-01-01,587520,42882053,e17680d80be246c113b2f0a18e3898f8553f033f3b5cf7f6b4559aa49f758d7f
jq_mmf_1m_batch_0001_000001-000021.zip,1,data/511920_XSHG_1m_20160328_20260731.csv,511920.XSHG,广发货币,mmf,2016-03-28,2200-01-01,603360,43786818,03ba6ed4b28cf448b234c15dbf19bd8afabe4b8ea69ba9adea7ba39ef42261b6
jq_mmf_1m_batch_0002_000022-000027.zip,2,data/511930_XSHG_1m_20151215_20260731.csv,511930.XSHG,国联日盈,mmf,2015-12-15,2200-01-01,619680,45211833,ed5bb37e70808e76e40bff134c240ca951a283eee70381aea585f3ae977d13fe
jq_mmf_1m_batch_0002_000022-000027.zip,2,data/511950_XSHG_1m_20161219_20260731.csv,511950.XSHG,广发添利,mmf,2016-12-19,2200-01-01,560400,40925130,8fec72aa2bb7e978d4e4600fa360a492cab8588b9e75080ea4c8228abda56930
jq_mmf_1m_batch_0002_000022-000027.zip,2,data/511960_XSHG_1m_20160111_20260731.csv,511960.XSHG,嘉实快线,mmf,2016-01-11,2200-01-01,615360,45026495,20ba14e30361298504aa9113c59105819d38f2530d573b128e24f6a8a54055c9
jq_mmf_1m_batch_0002_000022-000027.zip,2,data/511970_XSHG_1m_20160718_20260731.csv,511970.XSHG,国寿货币,mmf,2016-07-18,2200-01-01,585120,42546804,1a1a01b967edb306082312fa7f6f499de76a4d4047024af489550d77ca1783b4
jq_mmf_1m_batch_0002_000022-000027.zip,2,data/511980_XSHG_1m_20151102_20260731.csv,511980.XSHG,现金添富,mmf,2015-11-02,2200-01-01,627120,47110671,b1457f65f3ab79b0f5d77ff4b5db90d0d36751a6592da7cd5e29393585a0ed0c
jq_mmf_1m_batch_0002_000022-000027.zip,2,data/511990_XSHG_1m_20130128_20260731.csv,511990.XSHG,华宝添益,mmf,2013-01-28,2200-01-01,787200,66933009,0025bd85f08a07d0b3d297d57a151825d70fd9bebbaf8d9976fb9ba2f4668634
